type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.005811,0.001705,0.007194,19395.502408,0.001291,0.006470,19395.502408,0.000913,0.005771,19395.502408,0.001219,0.003538,19395.502408,0.001398,0.007813,19395.502408,0.000065,0.000096,19697.501249,0.001929,0.005069,13201.269846,0.000000,0.000018,0.000009,19395.502408
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.007900,0.003427,0.006381,26942.202420,0.001245,0.010197,26942.202420,0.001028,0.005845,26942.202420,0.000888,0.003302,26942.202420,0.000903,0.003248,26942.202420,0.000015,0.000040,26942.202420,0.000910,0.002966,22553.229524,0.000000,0.000000,0.000007,26942.202420
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.004120,0.001490,0.003854,24039.671937,0.000901,0.005868,24039.671937,0.000920,0.005997,24039.671937,0.000886,0.003242,24039.671937,0.000902,0.003263,24039.671937,0.000016,0.000041,24758.698205,0.000898,0.002985,17209.431192,0.000000,0.000000,0.000007,24039.671937
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.003962,0.001467,0.003993,35241.422559,0.000927,0.007068,35241.422559,0.001024,0.005927,35241.422559,0.000925,0.003283,35241.422559,0.000903,0.003215,35241.422559,0.000017,0.000041,35643.040668,0.000901,0.002935,31051.655537,0.000001,0.000001,0.000007,35241.422559
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.005628,0.001646,0.005326,28867.982790,0.000993,0.006424,28867.982790,0.001047,0.006216,28867.982790,0.000886,0.003251,28867.982790,0.000901,0.003332,28867.982790,0.000016,0.000041,29478.294562,0.000900,0.002953,22278.739161,0.000000,0.000000,0.000008,28867.982790
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.003915,0.001469,0.003993,22612.149623,0.000941,0.005772,22612.149623,0.000885,0.005736,22612.149623,0.000915,0.003326,22612.149623,0.000908,0.003228,22612.149623,0.000015,0.000041,23319.222358,0.000903,0.002854,19836.312644,0.000000,0.000001,0.000006,22612.149623
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.003909,0.001525,0.003937,21978.856459,0.000900,0.005795,21978.856459,0.000900,0.005791,21978.856459,0.001000,0.003282,21978.856459,0.000927,0.003192,21978.856459,0.000015,0.000041,22334.709531,0.000900,0.002933,18769.620814,0.000000,0.000000,0.000009,21978.856459
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.003927,0.001511,0.004000,21074.033866,0.000932,0.005732,21074.033866,0.000898,0.005815,21074.033866,0.000902,0.003306,21074.033866,0.000901,0.003301,21074.033866,0.000015,0.000041,21816.114282,0.001099,0.002849,17528.413554,0.000000,0.000001,0.000007,21074.033866
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.004027,0.001474,0.003935,23599.436363,0.000901,0.006243,23599.436363,0.001153,0.006445,23599.436363,0.001015,0.003708,23599.436363,0.001120,0.005174,23599.436363,0.000029,0.000078,23832.462525,0.001755,0.005529,20362.269255,0.000001,0.000001,0.000017,23599.436363
uncorr,6200,100,0.001235,6201,4824,0.149038,6201,4911,0.087007,6201,4824,0.162164,6201,4911,0.085998,63,63,0.001235,6201,4911,0.091975,0.009970,0.003635,0.009521,24782.856254,0.001800,0.009114,24782.856254,0.000962,0.006130,24782.856254,0.000887,0.003219,24782.856254,0.000915,0.003231,24782.856254,0.000015,0.000041,25543.852626,0.000916,0.002951,19617.066424,0.000001,0.000001,0.000009,24782.856254
