type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.006361,0.001920,0.005295,26600.946371,0.001177,0.013695,26600.946371,0.001535,0.012317,26600.946371,0.001384,0.004986,26600.946371,0.001336,0.004659,26600.946371,0.000029,0.000053,26623.516541,0.001369,0.004305,20550.947667,0.000000,0.000016,0.000009,26600.946371
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.006122,0.002173,0.005623,26299.373472,0.001660,0.013266,26299.373472,0.001110,0.010139,26299.373472,0.001103,0.004445,26299.373472,0.001132,0.004194,26299.373472,0.000020,0.000052,26313.438230,0.001128,0.003669,20074.713553,0.000000,0.000001,0.000007,26299.373472
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005079,0.001959,0.005257,23708.404379,0.001155,0.012549,23708.404379,0.001132,0.009982,23708.404379,0.001099,0.004390,23708.404379,0.001150,0.004080,23708.404379,0.000019,0.000053,23708.404379,0.001146,0.003636,18011.683099,0.000000,0.000001,0.000008,23708.404379
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005204,0.001892,0.005050,30745.833202,0.001174,0.015399,30745.833202,0.001235,0.010900,30745.833202,0.001109,0.004520,30745.833202,0.001156,0.004401,30745.833202,0.000019,0.000053,31049.812464,0.001126,0.003846,21395.665466,0.000000,0.000001,0.000011,30745.833202
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005143,0.002019,0.005138,33493.974111,0.001135,0.012696,33493.974111,0.001100,0.010044,33493.974111,0.001108,0.005251,33493.974111,0.001213,0.004172,33493.974111,0.000020,0.000052,33493.974111,0.001153,0.003995,20802.625620,0.000000,0.000000,0.000006,33493.974111
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005198,0.001842,0.005142,26293.842404,0.001211,0.012853,26293.842404,0.001078,0.010141,26293.842404,0.001109,0.004448,26293.842404,0.001333,0.004323,26293.842404,0.000018,0.000052,26891.568825,0.001158,0.003605,21677.762740,0.000000,0.000001,0.000008,26293.842404
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005111,0.001914,0.005030,23743.114575,0.001140,0.012708,23743.114575,0.001081,0.009983,23743.114575,0.001257,0.004415,23743.114575,0.001122,0.004184,23743.114575,0.000018,0.000053,24732.479781,0.001128,0.003564,20370.954623,0.000001,0.000001,0.000007,23743.114575
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005154,0.001864,0.005078,34588.165367,0.001126,0.012681,34588.165367,0.001075,0.010339,34588.165367,0.001137,0.004363,34588.165367,0.001125,0.004201,34588.165367,0.000021,0.000075,34707.792049,0.001238,0.003611,26192.821083,0.000000,0.000001,0.000004,34588.165367
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005055,0.001855,0.007079,27012.035923,0.002734,0.021608,27012.035923,0.002183,0.015570,27012.035923,0.001074,0.004346,27012.035923,0.001127,0.004132,27012.035923,0.000018,0.000052,27824.475404,0.001163,0.003623,20451.301803,0.000000,0.000001,0.000006,27012.035923
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005607,0.002074,0.005643,25365.680889,0.001391,0.020378,25365.680889,0.001166,0.010113,25365.680889,0.001070,0.004502,25365.680889,0.001184,0.004297,25365.680889,0.000018,0.000052,25760.630559,0.001124,0.003591,20893.792819,0.000000,0.000001,0.000008,25365.680889
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005145,0.001858,0.005012,43109.785854,0.001143,0.014484,43109.785854,0.001233,0.011296,43109.785854,0.001286,0.008254,43109.785854,0.002170,0.006432,43109.785854,0.000023,0.000068,43596.574244,0.001504,0.004050,32021.082053,0.000000,0.000002,0.000009,43109.785854
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005112,0.001906,0.005733,22034.186915,0.001288,0.020355,22034.186915,0.001709,0.011273,22034.186915,0.001077,0.004350,22034.186915,0.001120,0.004232,22034.186915,0.000018,0.000052,22034.186915,0.001131,0.003632,16579.155770,0.000000,0.000001,0.000006,22034.186915
uncorr,7900,100,0.001483,7901,5857,0.206816,7901,6138,0.134866,7901,5857,0.160161,7901,6138,0.138815,80,79,0.001483,7901,6138,0.092162,0.005085,0.001881,0.005157,33667.946805,0.001147,0.012577,33667.946805,0.001164,0.009995,33667.946805,0.001098,0.004484,33667.946805,0.001187,0.004138,33667.946805,0.000018,0.000053,33810.728772,0.001149,0.003604,26002.983057,0.000000,0.000001,0.000007,33667.946805
