type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,986,991,0.294131,0.189720
almost,1001,1001,986,991,0.308655,0.180272
inv,1001,1001,829,835,0.364332,0.226684
str,1001,1001,990,995,0.305028,0.195318
weak,1001,1001,986,991,0.291650,0.178232
