type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,993,996,0.527587,0.336380
almost,1001,1001,993,996,0.516724,0.325578
inv,1001,1001,845,850,0.639066,0.407029
str,1001,1001,992,996,0.555525,0.333692
weak,1001,1001,993,996,0.521884,0.317129
