type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,989,992,0.404662,0.257072
almost,1001,1001,989,992,0.403995,0.250875
inv,1001,1001,837,842,0.501734,0.313282
str,1001,1001,990,995,0.422340,0.267143
weak,1001,1001,989,992,0.408140,0.248430
