t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
1001,1001,983,988,0.214506,0.112132
1001,1001,983,988,0.184055,0.123078
1001,1001,820,828,0.224214,0.130614
1001,1001,989,995,0.175309,0.110686
1001,1001,983,988,0.168346,0.104582
