type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,529,579,0.001572,0.001077
almost,1000,1001,1001,529,579,0.001525,0.001213
inv,1000,1001,1001,230,229,0.001890,0.001497
str,1000,1001,1001,482,527,0.001536,0.001160
weak,1000,1001,1001,529,579,0.001479,0.000930
