type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,988,992,0.376519,0.242407
almost,1001,1001,988,992,0.369035,0.228173
inv,1001,1001,837,839,0.442448,0.277922
str,1001,1001,990,995,0.373221,0.230664
weak,1001,1001,988,992,0.363734,0.223030
