type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,970,982,0.060016,0.037311
almost,1000,1001,1001,970,982,0.060228,0.039858
inv,1000,1001,1001,786,798,0.067933,0.042375
str,1000,1001,1001,975,989,0.056182,0.035179
weak,1000,1001,1001,970,982,0.057554,0.040222
