type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,998,1001,1.422671,0.889720
almost,1001,1001,998,1001,1.366865,0.882261
inv,1001,1001,869,872,1.672422,1.057467
str,1001,1001,997,1000,1.356243,0.857715
weak,1001,1001,998,1001,1.355310,0.851850
