type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,997,997,1.088358,0.721609
almost,1001,1001,997,997,1.083832,0.685585
inv,1001,1001,864,866,1.303834,0.823043
str,1001,1001,997,1000,1.067304,0.674488
weak,1001,1001,997,997,1.068175,0.673661
