type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,971,982,0.075867,0.044495
almost,1000,1001,1001,971,982,0.071613,0.043887
inv,1000,1001,1001,803,812,0.102665,0.052245
str,1000,1001,1001,978,990,0.074748,0.045075
weak,1000,1001,1001,971,982,0.070126,0.042548
