type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,973,982,0.079549,0.051069
almost,1000,1001,1001,973,982,0.075566,0.053102
inv,1000,1001,1001,805,812,0.091931,0.056183
str,1000,1001,1001,979,990,0.076596,0.047682
weak,1000,1001,1001,973,982,0.073687,0.047164
