type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,996,997,0.872249,0.549999
almost,1001,1001,996,997,0.853715,0.527156
inv,1001,1001,860,861,1.023636,0.652232
str,1001,1001,996,996,0.849783,0.535037
weak,1001,1001,996,997,0.845631,0.518373
