type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,993,996,0.598192,0.376599
almost,1001,1001,993,996,0.596913,0.362817
inv,1001,1001,847,853,0.740290,0.501572
str,1001,1001,992,996,0.602444,0.373758
weak,1001,1001,993,996,0.588807,0.365102
