type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,997,997,1.047473,0.658039
almost,1001,1001,997,997,1.014350,0.632638
inv,1001,1001,864,864,1.201974,0.770721
str,1001,1001,996,996,1.009791,0.624620
weak,1001,1001,997,997,1.016424,0.635779
