typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_fminknap,resOpt_v1,resOpt,resFmin
uncorr,0.000000,0.060279,0.054725,0.000012,177357.769844,177357.769844,177357.769844
uncorr,0.000000,0.054531,0.058627,0.000019,161848.149770,161848.149770,161848.149770
uncorr,0.000000,0.071002,0.058242,0.000017,213231.989575,213231.989575,213231.989575
uncorr,0.000001,0.066289,0.057011,0.000014,192410.605392,192410.605392,192410.605392
uncorr,0.000000,0.056010,0.057294,0.000044,167581.225714,167581.225714,167581.225714
uncorr,0.000000,0.057857,0.057643,0.000013,157365.836145,157365.836145,157365.836145
uncorr,0.000000,0.057413,0.058020,0.000021,168505.910884,168505.910884,168505.910884
uncorr,0.000000,0.057102,0.056015,0.000016,160615.507679,160615.507679,160615.507679
uncorr,0.000000,0.056580,0.056168,0.000014,157211.148747,157211.148747,157211.148747
uncorr,0.000000,0.055914,0.054900,0.000013,177706.342706,177706.342706,177706.342706
uncorr,0.000000,0.057120,0.069474,0.000015,200267.632943,200307.969729,200307.969729
uncorr,0.000000,0.057083,0.058214,0.000015,190770.047622,190770.047622,190770.047622
uncorr,0.000001,0.060732,0.059766,0.000018,160719.773526,160719.773526,160719.773526
uncorr,0.000000,0.060579,0.058783,0.000017,197934.016670,197934.016670,197934.016670
uncorr,0.000000,0.056186,0.056012,0.000014,204435.889905,204435.889905,204435.889905
uncorr,0.000000,0.056376,0.055735,0.000015,191153.982209,191153.982209,191153.982209
uncorr,0.000000,0.055946,0.055999,0.000017,171053.570003,171059.392569,171059.392569
uncorr,0.000000,0.055956,0.056078,0.000016,142719.414544,142719.414544,142719.414544
uncorr,0.000000,0.054101,0.055825,0.000015,179635.865450,179635.865450,179635.865450
uncorr,0.000000,0.055325,0.054871,0.000017,200992.072904,200992.072904,200992.072904
uncorr,0.000000,0.054189,0.055932,0.000018,120306.646675,120409.255763,120409.255763
uncorr,0.000000,0.055415,0.055759,0.000028,178721.773782,178721.773782,178721.773782
uncorr,0.000000,0.055502,0.054810,0.000014,152112.777389,152112.777389,152112.777389
uncorr,0.000000,0.056210,0.056009,0.000016,173758.987367,173758.987367,173758.987367
uncorr,0.000000,0.055025,0.055243,0.000015,187583.098145,187583.098145,187583.098145
uncorr,0.000000,0.054315,0.055011,0.000013,214145.371572,214145.371572,214145.371572
uncorr,0.000000,0.054286,0.054457,0.000016,159259.277394,159264.184985,159264.184985
almost,0.000000,0.055981,0.061088,0.000015,56568.312236,56568.312236,56568.312236
almost,0.000000,0.082240,0.057053,0.000013,55095.814819,55095.814819,55095.814819
almost,0.000000,0.057384,0.063186,0.000041,59717.572130,59726.369886,59726.369886
almost,0.000000,0.054656,0.055351,0.000023,53306.621621,53306.621621,53306.621621
almost,0.000000,0.056451,0.055449,0.000019,52217.805701,52217.805701,52217.805701
almost,0.000001,0.053813,0.055305,0.000018,58513.003550,58513.003550,58513.003550
almost,0.000000,0.053473,0.055822,0.000020,49245.635832,49245.635832,49245.635832
almost,0.000000,0.055405,0.055187,0.000023,51973.618309,51973.618309,51973.618309
almost,0.000000,0.054195,0.054512,0.000022,46829.812878,46829.812878,46829.812878
almost,0.000001,0.054835,0.055475,0.000017,48063.079342,48063.079342,48063.079342
almost,0.000000,0.054231,0.055554,0.000025,59723.163088,59723.163088,59723.163088
almost,0.000001,0.054750,0.055687,0.000018,51219.674472,51219.674472,51219.674472
almost,0.000000,0.054536,0.056343,0.000016,50781.482498,50781.482498,50781.482498
almost,0.000000,0.056083,0.056479,0.000021,54672.091169,54672.091169,54672.091169
almost,0.000000,0.056334,0.057175,0.000019,46605.938675,46620.221268,46620.221268
almost,0.000000,0.056969,0.056162,0.000014,54475.096359,54475.096359,54475.096359
almost,0.000000,0.057147,0.054827,0.000019,53359.804562,53359.804562,53359.804562
almost,0.000000,0.053683,0.053793,0.000018,52309.327371,52309.327371,52309.327371
almost,0.000000,0.054621,0.055104,0.000032,54909.918508,54909.918508,54909.918508
almost,0.000000,0.053713,0.056148,0.000019,45824.377428,45824.377428,45824.377428
almost,0.000000,0.053767,0.053888,0.000026,49022.957986,49022.957986,49022.957986
almost,0.000000,0.053633,0.054764,0.000017,59320.802244,59320.802244,59320.802244
almost,0.000000,0.054158,0.054820,0.000018,51842.272215,51842.272215,51842.272215
almost,0.000000,0.055043,0.054758,0.000019,50991.184616,50994.732622,50994.732622
almost,0.000000,0.053591,0.053854,0.000014,59310.043609,59310.043609,59310.043609
almost,0.000000,0.055080,0.055115,0.000015,55637.963284,55637.963284,55637.963284
almost,0.000000,0.055785,0.057093,0.000015,54359.896675,54359.896675,54359.896675
almost,0.000001,0.056495,0.056583,0.000036,57339.184382,57339.184382,57339.184382
almost,0.000000,0.056662,0.055938,0.000031,46843.176546,46843.176546,46843.176546
almost,0.000000,0.054440,0.054328,0.000020,52522.331025,52522.331025,52522.331025
almost,0.000000,0.055138,0.053962,0.000025,47195.991634,47195.991634,47195.991634
almost,0.000000,0.054140,0.053965,0.000017,50930.963255,50930.963255,50930.963255
almost,0.000000,0.054315,0.054755,0.000023,54231.182919,54231.182919,54231.182919
almost,0.000001,0.053751,0.056022,0.000012,55517.044649,55517.044649,55517.044649
almost,0.000000,0.057334,0.058595,0.000018,55180.059941,55180.059941,55180.059941
almost,0.000000,0.057683,0.059339,0.000016,54993.730899,54993.730899,54993.730899
almost,0.000000,0.059000,0.059248,0.000019,53011.679102,53011.679102,53011.679102
almost,0.000000,0.059643,0.058648,0.000019,58926.552194,58926.552194,58926.552194
almost,0.000000,0.058809,0.056027,0.000020,54940.152351,55091.772929,55091.772929
almost,0.000000,0.056586,0.056621,0.000019,51935.573517,51935.573517,51935.573517
almost,0.000000,0.056288,0.056960,0.000019,55196.834168,55196.834168,55196.834168
almost,0.000000,0.056179,0.056656,0.000022,48239.011431,48239.011431,48239.011431
almost,0.000000,0.053756,0.054918,0.000015,60514.573863,60514.573863,60514.573863
almost,0.000000,0.053620,0.055651,0.000023,48710.240480,48710.240480,48710.240480
almost,0.000000,0.056519,0.056422,0.000028,57214.169146,57214.169146,57214.169146
almost,0.000000,0.056170,0.057324,0.000023,53386.367044,53437.681208,53437.681208
almost,0.000001,0.054126,0.053884,0.000015,59645.382514,59645.382514,59645.382514
almost,0.000001,0.053763,0.054697,0.000016,56555.401415,56555.401415,56555.401415
almost,0.000000,0.055487,0.054555,0.000015,58742.013423,58742.013423,58742.013423
almost,0.000001,0.054981,0.056524,0.000022,49621.733423,49621.733423,49621.733423
almost,0.000000,0.056092,0.056546,0.000017,56225.336104,56225.336104,56225.336104
almost,0.000000,0.056776,0.056576,0.000019,59227.716932,59227.716932,59227.716932
almost,0.000000,0.056079,0.063664,0.000022,53133.741106,53133.741106,53133.741106
almost,0.000000,0.056085,0.058776,0.000017,46192.803386,46192.803386,46192.803386
almost,0.000000,0.053684,0.056225,0.000014,52027.159878,52027.159878,52027.159878
almost,0.000000,0.054795,0.053786,0.000016,53076.539814,53076.539814,53076.539814
almost,0.000001,0.053292,0.056504,0.000015,50584.661071,50584.661071,50584.661071
almost,0.000000,0.056736,0.057022,0.000021,47877.982977,47877.982977,47877.982977
