type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,998,1001,1.439431,0.900138
almost,1001,1001,998,1001,1.400771,0.885388
inv,1001,1001,872,873,1.680180,1.070502
str,1001,1001,997,1000,1.414518,0.873670
weak,1001,1001,998,1001,1.392668,0.889724
