type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,986,991,0.267757,0.157295
almost,1001,1001,986,991,0.247451,0.156185
inv,1001,1001,826,830,0.329526,0.191445
str,1001,1001,990,995,0.256037,0.159463
weak,1001,1001,986,991,0.249184,0.150259
