type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,998,999,1.360658,0.843643
almost,1001,1001,998,999,1.299985,0.812308
inv,1001,1001,868,869,1.570725,0.985950
str,1001,1001,997,1000,1.280547,0.807246
weak,1001,1001,998,999,1.298969,0.804784
