type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,994,997,0.828782,0.531048
almost,1001,1001,994,997,0.810481,0.509634
inv,1001,1001,859,861,0.982015,0.612987
str,1001,1001,996,996,0.802358,0.498012
weak,1001,1001,994,997,0.801635,0.503149
