type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,986,991,0.260160,0.159186
almost,1001,1001,986,991,0.266417,0.169817
inv,1001,1001,826,831,0.339164,0.197164
str,1001,1001,990,995,0.268257,0.169208
weak,1001,1001,986,991,0.290526,0.159861
