type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,992,996,0.444409,0.277549
almost,1001,1001,992,996,0.435653,0.272235
inv,1001,1001,838,844,0.539118,0.334950
str,1001,1001,990,996,0.446115,0.278438
weak,1001,1001,992,996,0.427794,0.270698
