type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,713,836,0.003252,0.001665
almost,1000,1001,1001,713,836,0.002627,0.001743
inv,1000,1001,1001,418,454,0.002858,0.001875
str,1000,1001,1001,734,833,0.002428,0.001680
weak,1000,1001,1001,713,836,0.002470,0.001485
