type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,993,996,0.686349,0.417038
almost,1001,1001,993,996,0.694911,0.417526
inv,1001,1001,854,856,0.814289,0.505611
str,1001,1001,994,996,0.665330,0.415669
weak,1001,1001,993,996,0.650198,0.409074
