type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,988,992,0.354163,0.224035
almost,1001,1001,988,992,0.362727,0.215862
inv,1001,1001,835,839,0.428793,0.270489
str,1001,1001,990,995,0.382060,0.222095
weak,1001,1001,988,992,0.345811,0.216502
