type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002590,0.003917,0.002208,0.000002,0.001967,18670.248737,18670.248737,18670.248737,4391.611024,16998.041551
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002922,0.004115,0.002467,0.000002,0.001873,19038.104176,19038.104176,19038.104176,4170.779227,18613.347671
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003105,0.005327,0.003861,0.000003,0.002210,15427.501237,15427.501237,15427.501237,4396.605406,14559.194568
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002887,0.004657,0.002467,0.000002,0.002727,16501.967601,16496.673881,16501.967601,4902.243755,15661.184547
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002855,0.004254,0.002486,0.000003,0.002203,19975.408721,19975.408721,19975.408721,4307.679901,18501.649476
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002818,0.004104,0.002488,0.000002,0.002134,21951.735537,21951.735537,21951.735537,4639.953567,19159.958445
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002884,0.004179,0.002486,0.000002,0.002111,15512.413765,15512.413765,15512.413765,3853.209954,13816.149230
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002977,0.004113,0.002514,0.000002,0.002137,20363.030924,20363.030924,20363.030924,4728.920413,18904.525074
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003070,0.004129,0.002461,0.000003,0.002152,16491.442772,16491.442772,16491.442772,3792.748642,14787.373518
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002953,0.004094,0.002735,0.000003,0.002565,21911.400717,21911.400717,21911.400717,4422.984959,19999.058672
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003966,0.004442,0.002712,0.000003,0.003638,20796.283686,20796.283686,20796.283686,4995.112893,19316.297798
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003107,0.003711,0.002297,0.000002,0.001931,22273.763814,22273.763814,22273.763814,6335.424430,20087.606963
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003907,0.004742,0.002207,0.000003,0.001878,17754.292327,17754.292327,17754.292327,4674.833092,16321.440030
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002938,0.003721,0.002233,0.000002,0.002206,12734.385884,12734.385884,12734.385884,3797.941276,11398.607186
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002953,0.003767,0.002199,0.000002,0.001877,23636.153085,23636.153085,23636.153085,5872.208807,21804.326761
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002911,0.003931,0.002203,0.000002,0.001882,23736.860354,23736.860354,23736.860354,6346.338336,21444.762186
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002987,0.004095,0.002215,0.000002,0.001938,26312.876211,26312.876211,26312.876211,6258.918004,23540.771427
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002710,0.003936,0.002306,0.000002,0.001877,21724.504675,21724.504675,21724.504675,4143.498016,20444.534186
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002540,0.004287,0.002605,0.000002,0.001913,23020.272121,23020.272121,23020.272121,4974.847950,20346.674576
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002664,0.003818,0.004695,0.000005,0.005806,20360.327554,20360.327554,20360.327554,6136.629389,18198.924680
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.006860,0.008729,0.007194,0.000005,0.005718,19200.280889,19200.280889,19200.280889,4600.492608,16702.328745
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002923,0.003755,0.002271,0.000002,0.001884,15494.875948,15494.875948,15494.875948,7797.092197,14355.771620
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002740,0.004105,0.002339,0.000002,0.001879,17268.819407,17268.819407,17268.819407,5516.284418,14756.824875
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002534,0.004085,0.002805,0.000003,0.002312,14552.987413,14552.987413,14552.987413,4818.574850,12554.248205
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003239,0.004031,0.002200,0.000002,0.001943,17538.011191,17538.011191,17538.011191,6813.270885,16148.019865
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002549,0.003701,0.002681,0.000002,0.001933,21312.196251,21312.196251,21312.196251,5318.092482,18537.358643
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002538,0.003702,0.002410,0.000002,0.002012,18221.498905,18221.498905,18221.498905,5418.921713,16562.892105
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002606,0.003734,0.002243,0.000002,0.002064,20208.876637,20208.876637,20208.876637,7953.283693,18275.294340
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002573,0.003660,0.002276,0.000003,0.001964,17483.660377,17483.660377,17483.660377,3956.352763,16190.366772
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002994,0.003763,0.002222,0.000002,0.001878,21262.909952,21262.909952,21262.909952,6930.819265,20266.026563
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002712,0.003800,0.002305,0.000002,0.001879,21337.361371,21337.361371,21337.361371,5598.504472,19227.230669
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002532,0.004169,0.002236,0.000002,0.001882,20937.640487,20937.640487,20937.640487,6007.483755,18799.862520
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002610,0.003996,0.002203,0.000002,0.001910,19967.987429,19967.987429,19967.987429,5399.158774,18608.294938
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002617,0.003768,0.003683,0.000003,0.002404,13894.008583,13894.008583,13894.008583,4476.802391,11984.793993
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002691,0.004286,0.003111,0.000003,0.002092,18416.995254,18416.995254,18416.995254,5674.335588,18261.168683
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003681,0.003865,0.002520,0.000003,0.003545,20459.587539,20459.587539,20459.587539,6072.357879,19002.043131
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002591,0.004024,0.002599,0.000002,0.001929,19308.540279,19308.540279,19308.540279,4760.977998,17378.906237
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002721,0.003875,0.002763,0.000003,0.001988,25023.138060,25023.138060,25023.138060,4888.419205,23721.144861
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002725,0.004096,0.002795,0.000003,0.002918,14649.041487,14649.041487,14649.041487,5201.189670,12932.405998
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003134,0.003940,0.003303,0.000002,0.001967,18008.262242,18008.262242,18008.262242,5248.698038,17074.023631
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003062,0.003745,0.002549,0.000002,0.001977,21340.727647,21340.727647,21340.727647,5783.519126,19996.026817
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002547,0.003785,0.002209,0.000002,0.002432,18386.992965,18386.992965,18386.992965,4695.390268,17077.093539
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002666,0.003676,0.002208,0.000002,0.002378,21172.577950,21172.577950,21172.577950,4470.704989,19143.255348
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002901,0.003787,0.002236,0.000003,0.001950,15539.039247,15539.039247,15539.039247,5233.191879,14764.436298
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003142,0.003633,0.002227,0.000002,0.002081,20300.373747,20300.373747,20300.373747,4043.838479,18025.962182
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002705,0.003878,0.002222,0.000002,0.001926,21282.482477,21282.482477,21282.482477,4236.440106,18952.863430
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002781,0.004466,0.002524,0.000004,0.001882,16094.100818,16094.100818,16094.100818,3577.501390,14255.324179
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002667,0.004113,0.003208,0.000003,0.002429,23038.370997,23038.370997,23038.370997,4594.566007,22551.504754
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002529,0.003999,0.002240,0.000002,0.001885,15309.488194,15309.488194,15309.488194,3639.736307,13746.541310
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002548,0.003745,0.002508,0.000002,0.001884,15317.392874,15317.392874,15317.392874,4870.904063,13031.403414
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002566,0.003650,0.002525,0.000003,0.001928,17690.058409,17690.058409,17690.058409,4412.998514,15512.666334
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002542,0.003825,0.002209,0.000002,0.002385,22610.917631,22610.917631,22610.917631,5149.225243,19851.646064
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002572,0.003715,0.002334,0.000002,0.002069,26848.835828,26848.835828,26848.835828,7438.743034,24416.878632
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002794,0.003741,0.002247,0.000002,0.001994,19662.700686,19662.700686,19662.700686,5629.576331,18312.221852
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003201,0.003683,0.002210,0.000002,0.001921,20043.877462,20043.877462,20043.877462,5018.579205,18920.242156
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002645,0.003784,0.002207,0.000002,0.001878,20969.760606,20969.760606,20969.760606,5070.753627,18266.381455
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002561,0.005490,0.002333,0.000002,0.001874,22448.405813,22448.405813,22448.405813,5154.203104,19958.772507
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002665,0.004096,0.002214,0.000002,0.001875,16871.777548,16871.777548,16871.777548,5361.554794,16312.941818
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002687,0.005635,0.002321,0.000002,0.001883,18500.810266,18500.810266,18500.810266,4466.070977,17410.904469
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002521,0.003970,0.002279,0.000003,0.001935,23305.738371,23305.738371,23305.738371,4260.011059,21384.460439
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002584,0.004122,0.002664,0.000002,0.001951,18032.723037,18032.723037,18032.723037,4201.630177,17803.444149
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002658,0.004035,0.002288,0.000002,0.002114,19755.453847,19755.453847,19755.453847,4766.722020,17653.907726
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002727,0.004026,0.002338,0.000002,0.002269,16411.299403,16411.299403,16411.299403,5945.003168,14773.919300
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002589,0.003937,0.002357,0.000003,0.001954,17237.566116,17237.566116,17237.566116,5771.201280,16544.860345
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002906,0.003921,0.002317,0.000002,0.001967,20875.548381,20875.548381,20875.548381,4989.175188,18297.543415
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003140,0.003804,0.002419,0.000002,0.002068,17697.656555,17697.656555,17697.656555,4822.397990,16200.557981
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002893,0.003816,0.002453,0.000002,0.002016,18362.499490,18362.499490,18362.499490,5046.350594,16616.712205
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002714,0.005233,0.002410,0.000002,0.002337,15833.729959,15833.729959,15833.729959,4877.915681,15701.281824
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002633,0.004121,0.002335,0.000002,0.001970,15362.177764,15362.177764,15362.177764,4992.628714,14105.700927
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002726,0.004220,0.002408,0.000002,0.002099,18554.643459,18554.643459,18554.643459,5895.535025,17110.010318
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002632,0.004002,0.002514,0.000002,0.001995,18365.362525,18365.362525,18365.362525,4578.949578,17899.583407
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002702,0.003865,0.002710,0.000002,0.002038,21822.489513,21822.489513,21822.489513,5361.760162,20233.786112
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002697,0.003911,0.002650,0.000002,0.002071,21451.404236,21451.404236,21451.404236,4540.089272,19997.086989
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002691,0.003795,0.002356,0.000002,0.002323,19931.043518,19931.043518,19931.043518,5012.905356,17307.905773
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002671,0.003915,0.002784,0.000003,0.002225,14372.444327,14372.444327,14372.444327,4201.920100,13020.190488
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002695,0.003899,0.002414,0.000002,0.002010,18367.962068,18367.962068,18367.962068,6185.567929,16300.953347
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.003179,0.003738,0.002274,0.000002,0.001998,8630.909329,8630.909329,8630.909329,5627.654505,8418.957421
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.002546,0.004079,0.002229,0.000002,0.001938,7361.021733,7361.021733,7361.021733,5574.790711,6559.188034
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.002535,0.004251,0.002272,0.000002,0.001890,8114.224838,8114.224838,8114.224838,4691.199961,8019.593973
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.002539,0.003837,0.002448,0.000002,0.001886,8076.986939,8076.986939,8076.986939,6950.297301,7509.740981
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.002971,0.003786,0.002929,0.000002,0.002251,7593.504510,7593.504510,7593.504510,6040.905684,7501.000308
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.003021,0.004732,0.003088,0.000002,0.002322,9238.674709,9238.674709,9238.674709,8349.264557,8694.922013
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.003760,0.005183,0.002783,0.000002,0.002460,8264.523217,8264.523217,8264.523217,7219.514464,7807.999441
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.003048,0.004076,0.002329,0.000002,0.001917,8555.996930,8555.996930,8555.996930,5866.364033,8549.139535
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.002525,0.003787,0.002413,0.000002,0.001895,8090.744705,8090.744705,8090.744705,7963.661001,7964.117035
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.002678,0.003744,0.002652,0.000003,0.001912,7294.611287,7294.611287,7294.611287,5244.677313,7086.306637
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.002545,0.004004,0.002219,0.000002,0.002394,7309.732172,7309.732172,7309.732172,4242.383321,6976.138562
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.002563,0.003792,0.002411,0.000002,0.001993,9884.445666,9884.445666,9884.445666,6284.202128,8903.673434
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.003327,0.004223,0.002481,0.000002,0.001943,8160.354340,8160.354340,8160.354340,5343.965774,7306.653725
almost,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.071868,0.044074,0.000033,0.045955,0.002744,0.003693,0.002473,0.000002,0.001899,7875.270806,7875.270806,7875.270806,5899.529522,7496.703349
