typename,s_size_v1,s_size_v2,s_size_v1_1,s_size_v2_1,time_ks2_allocation,time_ks2_v2,time_ks2_v2_allocation_1,time_ks2_v2_1,time_ks2_v1_allocation,time_ks2_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,time_original
uncorr,48543,48620,48543,48620,0.013832,0.070283,0.014001,0.029038,0.013359,0.075675,0.013093,0.029026,0.043605
uncorr,48543,48620,48543,48620,0.020908,0.107621,0.013348,0.028360,0.013523,0.079378,0.013516,0.029413,0.043124
uncorr,48543,48620,48543,48620,0.014166,0.083311,0.017471,0.050367,0.015732,0.072097,0.013682,0.029175,0.036373
uncorr,48543,48620,48543,48620,0.013467,0.072331,0.013239,0.027777,0.012991,0.071122,0.013089,0.028693,0.036427
uncorr,48543,48620,48543,48620,0.013084,0.070337,0.013286,0.029691,0.013142,0.070601,0.013124,0.027682,0.036258
uncorr,48543,48620,48543,48620,0.013367,0.070721,0.013362,0.027880,0.013273,0.071123,0.013129,0.028642,0.036765
uncorr,48543,48620,48543,48620,0.013204,0.070462,0.013535,0.027919,0.012958,0.070381,0.013168,0.027966,0.036232
uncorr,48543,48620,48543,48620,0.013302,0.073975,0.013522,0.027890,0.012988,0.070780,0.013182,0.028354,0.036452
uncorr,48543,48620,48543,48620,0.013164,0.070200,0.013349,0.028698,0.013341,0.071481,0.013210,0.028645,0.036606
uncorr,48543,48620,48543,48620,0.013379,0.071244,0.013569,0.028847,0.013150,0.071344,0.013063,0.028714,0.036501
uncorr,48543,48620,48543,48620,0.013089,0.070627,0.013092,0.028748,0.013302,0.070738,0.013145,0.028718,0.036418
uncorr,48543,48620,48543,48620,0.013213,0.070435,0.013262,0.028151,0.013224,0.070648,0.013205,0.027601,0.035887
uncorr,48543,48620,48543,48620,0.013196,0.070632,0.013299,0.027571,0.013187,0.070863,0.013207,0.027662,0.035643
uncorr,48543,48620,48543,48620,0.013267,0.070363,0.013181,0.027781,0.013203,0.070764,0.013224,0.027673,0.036585
uncorr,48543,48620,48543,48620,0.013370,0.069998,0.013245,0.027539,0.013149,0.070643,0.013384,0.027715,0.035705
uncorr,48543,48620,48543,48620,0.013239,0.070457,0.013077,0.027887,0.013226,0.070439,0.013161,0.028348,0.036340
uncorr,48543,48620,48543,48620,0.013187,0.070037,0.013016,0.028772,0.013216,0.071278,0.013025,0.028800,0.037374
uncorr,48543,48620,48543,48620,0.013247,0.070345,0.013177,0.027959,0.013138,0.070734,0.013212,0.027770,0.035922
uncorr,48543,48620,48543,48620,0.013342,0.070101,0.013210,0.028021,0.013283,0.070745,0.013476,0.027866,0.037415
uncorr,48543,48620,48543,48620,0.013412,0.070027,0.013201,0.027580,0.013121,0.070832,0.013131,0.027891,0.035945
uncorr,48543,48620,48543,48620,0.013156,0.069944,0.013207,0.027496,0.013013,0.071477,0.013156,0.027566,0.035807
uncorr,48543,48620,48543,48620,0.013230,0.070111,0.013091,0.027591,0.013246,0.070728,0.013328,0.028670,0.036674
uncorr,48543,48620,48543,48620,0.013394,0.070140,0.013285,0.028654,0.013141,0.070577,0.012994,0.027856,0.035824
uncorr,48543,48620,48543,48620,0.013215,0.070077,0.013414,0.028652,0.013194,0.079452,0.013109,0.028434,0.036528
uncorr,48543,48620,48543,48620,0.013102,0.070869,0.013370,0.029149,0.013275,0.071150,0.013196,0.028660,0.036253
uncorr,48543,48620,48543,48620,0.013841,0.070219,0.013336,0.027893,0.013308,0.071458,0.013482,0.028016,0.036477
uncorr,48543,48620,48543,48620,0.013487,0.070548,0.013264,0.030689,0.014661,0.076719,0.014972,0.028761,0.036797
uncorr,48543,48620,48543,48620,0.013170,0.070760,0.013086,0.028986,0.013325,0.071229,0.013279,0.029090,0.036359
uncorr,48543,48620,48543,48620,0.013502,0.070241,0.013321,0.029185,0.013236,0.070785,0.013098,0.027603,0.035773
uncorr,48543,48620,48543,48620,0.013161,0.069878,0.013068,0.027745,0.013084,0.074112,0.014337,0.028649,0.042988
uncorr,48543,48620,48543,48620,0.013499,0.080170,0.015777,0.030941,0.014656,0.074868,0.013228,0.032621,0.036601
uncorr,48543,48620,48543,48620,0.013300,0.071137,0.013522,0.028775,0.013215,0.071230,0.014457,0.030739,0.042934
uncorr,48543,48620,48543,48620,0.016782,0.087301,0.016830,0.031090,0.013638,0.073735,0.013140,0.028284,0.036754
uncorr,48543,48620,48543,48620,0.013646,0.073925,0.013235,0.028301,0.013573,0.070741,0.013230,0.030004,0.036266
uncorr,48543,48620,48543,48620,0.013189,0.071253,0.013357,0.028192,0.013103,0.070684,0.013252,0.028305,0.038699
uncorr,48543,48620,48543,48620,0.013511,0.070461,0.014112,0.028849,0.013129,0.070528,0.013209,0.027798,0.035666
uncorr,48543,48620,48543,48620,0.013290,0.070835,0.013327,0.027599,0.013233,0.071163,0.013199,0.027925,0.035978
uncorr,48543,48620,48543,48620,0.013175,0.070355,0.013257,0.027616,0.013181,0.071117,0.013103,0.027731,0.035994
uncorr,48543,48620,48543,48620,0.013040,0.069987,0.013094,0.028207,0.013186,0.074075,0.013475,0.029627,0.036856
uncorr,48543,48620,48543,48620,0.019937,0.075030,0.013389,0.027683,0.013275,0.072194,0.013789,0.028749,0.036362
uncorr,48543,48620,48543,48620,0.013287,0.070772,0.013406,0.027960,0.013141,0.084531,0.013392,0.028064,0.036468
uncorr,48543,48620,48543,48620,0.013293,0.073528,0.013337,0.028155,0.014514,0.076052,0.014575,0.028831,0.042524
uncorr,48543,48620,48543,48620,0.014760,0.074546,0.013349,0.028253,0.013386,0.070636,0.013092,0.028568,0.036228
uncorr,48543,48620,48543,48620,0.013016,0.071247,0.013464,0.029496,0.014842,0.073075,0.013442,0.028214,0.036575
uncorr,48543,48620,48543,48620,0.014501,0.072541,0.013317,0.028589,0.013238,0.070596,0.013258,0.028238,0.037143
uncorr,48543,48620,48543,48620,0.013334,0.070934,0.013357,0.027617,0.013340,0.071237,0.013298,0.027717,0.036173
uncorr,48543,48620,48543,48620,0.013393,0.069963,0.013158,0.028081,0.013275,0.070549,0.013202,0.028025,0.036333
uncorr,48543,48620,48543,48620,0.012958,0.070434,0.013442,0.028068,0.013457,0.070818,0.013127,0.028201,0.036283
uncorr,48543,48620,48543,48620,0.013016,0.070156,0.013287,0.028458,0.013138,0.070681,0.013168,0.028499,0.035839
uncorr,48543,48620,48543,48620,0.013037,0.070723,0.013488,0.027948,0.013280,0.071165,0.013256,0.027575,0.035833
uncorr,48543,48620,48543,48620,0.013170,0.070254,0.013241,0.028699,0.013388,0.073603,0.013186,0.027768,0.036277
uncorr,48543,48620,48543,48620,0.013267,0.071187,0.013320,0.027703,0.013236,0.070274,0.013359,0.027729,0.035961
uncorr,48543,48620,48543,48620,0.013227,0.070011,0.013175,0.027718,0.013197,0.070695,0.013277,0.028826,0.035988
uncorr,48543,48620,48543,48620,0.013170,0.069895,0.013061,0.027601,0.013159,0.070733,0.013264,0.027737,0.037337
uncorr,48543,48620,48543,48620,0.013825,0.071661,0.013415,0.028064,0.013234,0.071599,0.013576,0.027725,0.036249
uncorr,48543,48620,48543,48620,0.013242,0.070032,0.013290,0.028352,0.013998,0.071783,0.013685,0.027739,0.036297
uncorr,48543,48620,48543,48620,0.013312,0.070045,0.013448,0.028291,0.013388,0.070842,0.013336,0.027662,0.036082
uncorr,48543,48620,48543,48620,0.013246,0.070328,0.013311,0.032989,0.013572,0.074609,0.013355,0.028007,0.036038
uncorr,48543,48620,48543,48620,0.013236,0.070846,0.013447,0.027825,0.013152,0.070482,0.013221,0.029432,0.036248
uncorr,48543,48620,48543,48620,0.013351,0.070289,0.013281,0.028079,0.013195,0.092200,0.017304,0.053439,0.040651
uncorr,48543,48620,48543,48620,0.013839,0.070955,0.013268,0.028903,0.013389,0.071968,0.013451,0.027699,0.035876
uncorr,48543,48620,48543,48620,0.013370,0.069929,0.013285,0.027811,0.013272,0.071534,0.013498,0.027707,0.035764
uncorr,48543,48620,48543,48620,0.013259,0.071358,0.012999,0.028067,0.013246,0.070824,0.013517,0.028029,0.035858
uncorr,48543,48620,48543,48620,0.013339,0.070039,0.013294,0.028353,0.013631,0.070801,0.013424,0.028107,0.036658
uncorr,48543,48620,48543,48620,0.013392,0.070342,0.013435,0.028087,0.013181,0.070693,0.013406,0.028212,0.036498
uncorr,48543,48620,48543,48620,0.013384,0.070244,0.013416,0.028173,0.013485,0.070766,0.013300,0.027971,0.036130
uncorr,48543,48620,48543,48620,0.013275,0.069929,0.013376,0.028080,0.013173,0.070549,0.013372,0.028009,0.036104
uncorr,48543,48620,48543,48620,0.013098,0.070483,0.013467,0.027595,0.013207,0.070913,0.013295,0.027775,0.036389
uncorr,48543,48620,48543,48620,0.013485,0.070620,0.013166,0.027855,0.013425,0.070522,0.013223,0.027768,0.038023
uncorr,48543,48620,48543,48620,0.013356,0.070489,0.013356,0.027653,0.013263,0.070717,0.013325,0.027694,0.035818
uncorr,48543,48620,48543,48620,0.013314,0.069963,0.013233,0.027664,0.013132,0.070413,0.013822,0.027810,0.037798
uncorr,48543,48620,48543,48620,0.013298,0.070292,0.013421,0.028679,0.013374,0.070463,0.013244,0.028063,0.036474
uncorr,48543,48620,48543,48620,0.013191,0.070590,0.014558,0.028317,0.013488,0.070961,0.013407,0.027931,0.036102
uncorr,48543,48620,48543,48620,0.013541,0.070710,0.013263,0.027987,0.013170,0.070563,0.013247,0.028189,0.036329
uncorr,48543,48620,48543,48620,0.013319,0.070720,0.013337,0.028892,0.013205,0.070876,0.013314,0.028174,0.036189
