type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.003357,0.005599,0.004000,0.009481,0.000976,22487.701016,22487.701016,22487.701016,112231.377502,9715.754640
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.007339,0.009787,0.005269,0.006689,0.000562,20914.711731,20914.711731,20914.711731,106083.038141,8570.470593
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.004322,0.005371,0.005373,0.008673,0.000736,15588.162616,15588.162616,15588.162616,107814.161679,7980.166122
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.005092,0.009938,0.005472,0.007818,0.000419,17152.529762,17152.529762,17152.529762,93866.540795,7777.641350
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.003761,0.005818,0.003432,0.004643,0.000440,20034.995874,20034.995874,20034.995874,112400.144708,9699.902729
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.003494,0.005455,0.003971,0.005449,0.000583,18698.533953,18698.533953,18698.533953,107186.752501,7695.730676
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.003812,0.005310,0.003165,0.004129,0.000414,20893.285695,20893.285695,20893.285695,98172.284918,11050.803883
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.004725,0.006984,0.006394,0.004994,0.000456,19356.895080,19356.895080,19356.895080,102610.327050,9079.779564
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.003632,0.005585,0.004719,0.006988,0.000621,16906.292701,16906.292701,16906.292701,89272.644390,6691.699305
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.005131,0.007390,0.004393,0.006540,0.000610,17316.617202,17316.617202,17316.617202,82886.952878,7898.018654
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.006159,0.007156,0.005098,0.005014,0.000459,20412.936703,20412.936703,20412.936703,116609.897508,10182.565061
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.003260,0.004772,0.002835,0.004184,0.000405,17622.299142,17622.299142,17622.299142,98339.154342,8408.835021
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.003286,0.004651,0.002867,0.004832,0.000460,30412.807622,30412.807622,30412.807622,107488.017792,10446.965317
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4988,514,0.128984,0.076552,0.004495,0.066549,0.003610,0.005197,0.003025,0.004100,0.000410,17663.123377,17663.123377,17663.123377,97479.067706,8132.100391
