type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.006038,0.005016,0.003132,0.000001,0.000031,17466.366155,17466.366155,17466.366155,108967.265224,2369.075155
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.004701,0.006212,0.003758,0.000002,0.000035,16676.882205,16676.882205,16676.882205,119432.865418,2246.099570
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.005057,0.006297,0.002907,0.000002,0.000030,22295.556207,22295.556207,22295.556207,120262.020392,24065.914014
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003803,0.004685,0.002898,0.000001,0.000033,18126.588150,18126.588150,18126.588150,91173.267656,9945.353766
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003479,0.004686,0.003043,0.000001,0.000029,23879.933164,23879.933164,23879.933164,112349.908127,25876.574107
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003220,0.004824,0.002878,0.000001,0.000033,23873.507025,23873.507025,23873.507025,103546.170206,736.214720
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003454,0.004876,0.003222,0.000001,0.000034,18814.718848,18814.718848,18814.718848,106324.469527,2758.493310
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.005072,0.007676,0.004334,0.000001,0.000035,22567.224553,22567.224553,22567.224553,117249.654597,3631.586348
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.004076,0.005333,0.004175,0.000002,0.000060,21315.900347,21315.900347,21315.900347,95567.980028,1315.664023
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.008734,0.010458,0.015050,0.000002,0.000080,17066.414398,17066.414398,17066.414398,111642.254724,1758.482169
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.008937,0.009202,0.006837,0.000002,0.000074,16911.159517,16911.159517,16911.159517,97986.604856,2433.833868
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.008356,0.011793,0.008232,0.000002,0.000065,25075.483106,25075.483106,25075.483106,113885.343561,2456.985384
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.009814,0.012879,0.008744,0.000002,0.000059,15336.645246,15336.645246,15336.645246,86633.569842,1717.775498
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.006816,0.007553,0.004667,0.000001,0.000082,19413.844001,19413.844001,19413.844001,100049.390750,633.341189
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.005212,0.010063,0.004998,0.000002,0.000036,20983.667828,20983.667828,20983.667828,99885.418950,1181.438654
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.007101,0.007272,0.003053,0.000001,0.000033,17053.153708,17053.153708,17053.153708,116248.250791,674.721438
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003297,0.004811,0.003049,0.000001,0.000034,18158.331861,18158.331861,18158.331861,105352.772398,2766.270470
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003355,0.004695,0.002900,0.000001,0.000032,20420.933064,20354.777418,20420.933064,105119.084670,1216.643199
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003282,0.004670,0.004863,0.000001,0.000088,23134.812613,23134.812613,23134.812613,100581.555830,643.996899
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.004718,0.004931,0.003273,0.000001,0.000034,21179.037835,21179.037835,21179.037835,110114.101736,1103.141264
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003541,0.004995,0.002863,0.000001,0.000033,22788.257476,22788.257476,22788.257476,109298.890848,2030.771453
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003827,0.007362,0.003106,0.000001,0.000034,19097.036688,19097.036688,19097.036688,93304.888371,549.932728
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003239,0.004862,0.002809,0.000001,0.000034,22583.347655,22583.347655,22583.347655,100986.296467,949.997800
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003222,0.009268,0.004075,0.000001,0.000037,25593.144846,25593.144846,25593.144846,108613.825206,675.730696
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003391,0.004763,0.002836,0.000001,0.000039,21688.353206,21688.353206,21688.353206,116777.432088,912.282612
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003947,0.004743,0.002788,0.000001,0.000034,19663.095890,19663.095890,19663.095890,94435.843908,569.910978
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003364,0.004660,0.002826,0.000001,0.000034,18999.598239,18999.598239,18999.598239,100959.028173,278.484296
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003694,0.005284,0.003298,0.000001,0.000038,23084.193383,23084.193383,23084.193383,104772.429347,652.924995
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.004853,0.005154,0.003572,0.000002,0.000038,16357.935098,16357.935098,16357.935098,89739.617284,817.557496
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.004504,0.005939,0.003069,0.000000,0.000035,17164.578980,17164.578980,17164.578980,104620.365345,1718.061172
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003283,0.011898,0.006416,0.000001,0.000034,15838.468264,15838.468264,15838.468264,105458.188783,3120.771173
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.004643,0.005695,0.004263,0.000001,0.000038,17807.437747,17807.437747,17807.437747,96221.048845,1745.272934
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.004151,0.006084,0.003804,0.000001,0.000042,18871.899008,18871.899008,18871.899008,98421.621424,1312.033622
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.004562,0.005748,0.003657,0.000001,0.000034,14268.678317,14268.678317,14268.678317,91608.622083,834.140901
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003933,0.005411,0.003359,0.000001,0.000036,17298.788314,17298.788314,17298.788314,114106.250718,1452.199432
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003799,0.005867,0.002976,0.000001,0.000035,18876.546167,18876.546167,18876.546167,118283.507567,1873.966674
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.005392,0.006797,0.003192,0.000001,0.000038,22117.719387,22117.719387,22117.719387,107176.540497,1143.803580
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003444,0.004786,0.002812,0.000001,0.000034,17612.252547,17612.252547,17612.252547,97862.771258,1969.101614
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003566,0.004752,0.002861,0.000001,0.000034,13487.372346,13487.372346,13487.372346,99736.070730,3858.280799
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003791,0.004683,0.002838,0.000001,0.000033,23257.158110,23257.158110,23257.158110,103994.539315,2020.542292
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,0,0.097598,0.085704,0.001860,0.063740,0.003478,0.004760,0.002967,0.000002,0.000034,18342.746682,18342.746682,18342.746682,100606.047175,1725.579751
