type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.003107,0.001043,0.003054,25878.163298,0.000996,0.003840,25878.163298,0.000715,0.003770,25878.163298,0.000725,0.003706,25878.163298,0.000734,0.002385,25878.163298,0.000010,0.000033,26862.567180,0.000529,0.001867,22215.092047,0.083804,0.000011,0.000007,25878.163298
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.003043,0.001020,0.002771,24647.024902,0.000758,0.003652,24647.024902,0.000869,0.004525,24647.024902,0.000701,0.003744,24647.024902,0.000753,0.002404,24647.024902,0.000018,0.000033,25829.207942,0.000528,0.001981,20285.717720,0.083805,0.000001,0.000007,24647.024902
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.002771,0.001061,0.002804,22236.006032,0.000715,0.003645,22236.006032,0.000677,0.003865,22236.006032,0.000737,0.003722,22236.006032,0.000718,0.002431,22236.006032,0.000012,0.000033,22614.271801,0.000514,0.001907,19222.585022,0.083673,0.000001,0.000006,22236.006032
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.003074,0.001091,0.002900,22678.675814,0.000821,0.004068,22678.675814,0.000774,0.003964,22678.675814,0.000787,0.004236,22678.675814,0.000833,0.003080,22678.675814,0.000028,0.000035,23575.916690,0.000681,0.002059,18189.055705,0.088109,0.000001,0.000007,22678.675814
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.002796,0.001065,0.003101,24380.752430,0.000785,0.003767,24380.752430,0.000727,0.003699,24380.752430,0.000707,0.003814,24380.752430,0.000786,0.002525,24380.752430,0.000012,0.000031,25509.978183,0.000502,0.002033,22148.200406,0.090704,0.000000,0.000009,24380.752430
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.002945,0.001045,0.003044,18052.079461,0.000780,0.004155,18052.079461,0.000665,0.003603,18052.079461,0.001087,0.008975,18052.079461,0.001282,0.002737,18052.079461,0.000017,0.000035,18627.879237,0.000555,0.002070,16477.988550,0.087464,0.000001,0.000007,18052.079461
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.003161,0.000992,0.002705,29422.704936,0.000695,0.003636,29422.704936,0.000658,0.003635,29422.704936,0.000658,0.003885,29422.704936,0.000743,0.002405,29422.704936,0.000011,0.000030,30578.822357,0.000505,0.001766,26550.269731,0.081680,0.000001,0.000005,29422.704936
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.002789,0.001115,0.002672,22989.281859,0.000700,0.003632,22989.281859,0.000669,0.003683,22989.281859,0.000669,0.003612,22989.281859,0.000699,0.002321,22989.281859,0.000012,0.000033,23711.523194,0.000526,0.001904,18450.955260,0.086052,0.000000,0.000007,22989.281859
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.002873,0.000990,0.002675,16456.393951,0.000683,0.003619,16456.393951,0.000666,0.003625,16456.393951,0.000665,0.003623,16456.393951,0.000705,0.002398,16456.393951,0.000012,0.000032,16873.373026,0.000492,0.001850,15406.556107,0.081431,0.000001,0.000008,16456.393951
uncorr,5310,100,0.000814,5311,4521,0.085682,5311,4705,0.053999,5311,4521,0.085950,5311,4705,0.049543,54,54,0.000814,5311,3384,0.051418,0.002863,0.000988,0.002741,26947.241717,0.000737,0.003540,26947.241717,0.000657,0.003692,26947.241717,0.000757,0.003607,26947.241717,0.000732,0.002359,26947.241717,0.000013,0.000032,27291.334367,0.000505,0.001783,26704.666477,0.091526,0.000001,0.000006,26947.241717
