type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001567,0.000490,0.001395,10052.946587,0.000327,0.001872,10052.946587,0.000431,0.001900,10052.946587,0.000387,0.002507,10052.946587,0.000531,0.001199,10052.946587,0.000006,0.000017,10895.571576,0.000263,0.000894,8586.561154,0.034484,0.000015,0.000007,10052.946587
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001311,0.000464,0.001264,9743.695654,0.000341,0.001935,9743.695654,0.000329,0.001913,9743.695654,0.000329,0.001817,9743.695654,0.000330,0.001101,9743.695654,0.000006,0.000020,11034.497845,0.000250,0.000879,8612.208109,0.034026,0.000001,0.000006,9743.695654
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001300,0.000534,0.001249,8662.377583,0.000361,0.001783,8662.377583,0.000354,0.001844,8662.377583,0.000334,0.001908,8662.377583,0.000332,0.001135,8662.377583,0.000007,0.000017,9391.934842,0.000268,0.000865,8013.912579,0.037985,0.000001,0.000005,8662.377583
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001253,0.000447,0.001239,11984.321829,0.000379,0.001806,11984.321829,0.000306,0.001795,11984.321829,0.000305,0.001807,11984.321829,0.000309,0.001093,11984.321829,0.000006,0.000020,12729.460140,0.000312,0.000857,11089.969944,0.039920,0.000001,0.000006,11984.321829
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001283,0.000445,0.001246,9063.861059,0.000328,0.001817,9063.861059,0.000330,0.001828,9063.861059,0.000329,0.001800,9063.861059,0.000336,0.001107,9063.861059,0.000007,0.000021,9930.040048,0.000256,0.000876,7743.545145,0.034072,0.000000,0.000004,9063.861059
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001269,0.000474,0.001255,8806.095026,0.000349,0.001801,8806.095026,0.000324,0.001801,8806.095026,0.000355,0.001795,8806.095026,0.000378,0.001102,8806.095026,0.000007,0.000021,9366.227041,0.000258,0.000889,7933.211222,0.034455,0.000000,0.000006,8806.095026
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001337,0.000469,0.001319,10122.572937,0.000358,0.001806,10122.572937,0.000335,0.001839,10122.572937,0.000331,0.001793,10122.572937,0.000334,0.001095,10122.572937,0.000007,0.000017,11082.830970,0.000258,0.001070,9230.933264,0.034488,0.000001,0.000007,10122.572937
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001268,0.000472,0.001285,10085.690085,0.000323,0.001810,10085.690085,0.000336,0.001897,10085.690085,0.000330,0.001791,10085.690085,0.000333,0.001117,10085.690085,0.000007,0.000019,10870.831346,0.000247,0.000898,9341.512743,0.033967,0.000001,0.000005,10085.690085
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001267,0.000498,0.001243,10617.242561,0.000334,0.001817,10617.242561,0.000356,0.001811,10617.242561,0.000355,0.001817,10617.242561,0.000468,0.001111,10617.242561,0.000005,0.000020,11760.015163,0.000250,0.000886,9515.113823,0.034109,0.000000,0.000006,10617.242561
uncorr,2410,100,0.000322,2411,2094,0.035976,2411,2119,0.021722,2411,2094,0.032827,2411,2119,0.021779,25,25,0.000322,2411,1620,0.023771,0.001324,0.000491,0.001242,9140.193858,0.000381,0.001810,9140.193858,0.000327,0.001830,9140.193858,0.000331,0.001832,9140.193858,0.000328,0.001101,9140.193858,0.000006,0.000020,9896.444495,0.000262,0.000880,8314.213838,0.033998,0.000001,0.000005,9140.193858
