type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,997,997,1.336174,0.777258
almost,1001,1001,997,997,1.182228,0.743565
inv,1001,1001,864,867,1.420355,0.902463
str,1001,1001,997,1000,1.164986,0.730186
weak,1001,1001,997,997,1.170366,0.732376
