type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,997,997,0.994756,0.668885
almost,1001,1001,997,997,0.986425,0.621378
inv,1001,1001,863,864,1.190396,0.747922
str,1001,1001,996,996,0.971002,0.607504
weak,1001,1001,997,997,0.980326,0.609766
