type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,993,996,0.542267,0.349225
almost,1001,1001,993,996,0.530253,0.333703
inv,1001,1001,845,850,0.660138,0.412033
str,1001,1001,992,996,0.584157,0.350687
weak,1001,1001,993,996,0.531913,0.327938
