type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,986,991,0.240255,0.146700
almost,1001,1001,986,991,0.280949,0.149912
inv,1001,1001,826,830,0.296627,0.186068
str,1001,1001,990,995,0.243956,0.152289
weak,1001,1001,986,991,0.237255,0.144343
