type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,978,986,0.104792,0.072491
almost,1000,1001,1001,978,986,0.101350,0.063888
inv,1000,1001,1001,812,819,0.122520,0.078937
str,1000,1001,1001,986,990,0.099824,0.068135
weak,1000,1001,1001,978,986,0.104274,0.062751
