typename,original,columOpt_prealloc,columOpt_prealloc_V1,fminknap,resOpt,resFmin
str,0.000733,0.000207,0.000206,0.000005,541.425908,541.425908,541.425908
str,0.000762,0.000205,0.000205,0.000009,544.021179,544.021179,544.021179
str,0.000744,0.000209,0.000292,0.000005,530.279183,530.279183,530.279183
str,0.000747,0.000206,0.000207,0.000006,578.585961,578.585961,578.585961
str,0.000746,0.000390,0.000206,0.000005,429.813963,429.813963,429.813963
str,0.000777,0.000204,0.000205,0.000009,625.194067,625.194067,625.194067
str,0.000731,0.000205,0.000206,0.000004,509.497692,509.497692,509.497692
str,0.000748,0.000208,0.000209,0.000006,467.726651,467.726651,467.726651
str,0.001266,0.000204,0.000215,0.000005,476.712172,476.712172,476.712172
str,0.000745,0.000217,0.000225,0.000005,531.952604,531.952604,531.952604
str,0.000750,0.000204,0.000206,0.000005,549.791337,549.791337,549.791337
str,0.000748,0.000208,0.000208,0.000006,489.879077,489.879077,489.879077
str,0.000767,0.000205,0.000213,0.000006,600.517909,600.517909,600.517909
str,0.000760,0.000207,0.000274,0.000006,467.015766,467.015766,467.015766
str,0.000768,0.000208,0.000208,0.000005,509.763655,509.763655,509.763655
str,0.000888,0.000205,0.000207,0.000004,445.151322,445.151322,445.151322
str,0.000758,0.000205,0.000206,0.000006,539.519492,539.519492,539.519492
str,0.001041,0.000205,0.000206,0.000006,520.602468,520.602468,520.602468
str,0.000772,0.000207,0.000207,0.000004,591.041904,591.041904,591.041904
str,0.000748,0.000204,0.000205,0.000004,540.972628,540.972628,540.972628
str,0.000745,0.000208,0.000208,0.000004,578.104136,578.104136,578.104136
str,0.000741,0.000208,0.000217,0.000005,583.817453,583.817453,583.817453
str,0.000746,0.000208,0.000207,0.000011,643.726653,643.726653,643.726653
str,0.000763,0.000205,0.000218,0.000004,380.301117,380.301117,380.301117
str,0.000745,0.000207,0.000207,0.000006,573.282035,573.282035,573.282035
str,0.000748,0.000213,0.000207,0.000009,483.292470,483.292470,483.292470
str,0.001824,0.000329,0.000356,0.000008,526.805231,526.805231,526.805231
str,0.000785,0.000905,0.000233,0.000004,487.748200,487.748200,487.748200
str,0.000751,0.000211,0.000206,0.000006,501.476085,501.476085,501.476085
str,0.000769,0.000207,0.000205,0.000008,494.519989,494.519989,494.519989
str,0.001096,0.000207,0.000207,0.000012,664.901758,664.901758,664.901758
str,0.001284,0.000352,0.000344,0.000010,538.573707,538.573707,538.573707
str,0.000800,0.000399,0.000377,0.000007,661.313998,661.313998,661.313998
str,0.000771,0.000303,0.000419,0.000006,434.745164,434.745164,434.745164
str,0.000744,0.000207,0.000206,0.000005,612.788950,612.788950,612.788950
str,0.000755,0.000207,0.000206,0.000009,575.494527,575.494527,575.494527
str,0.000741,0.000206,0.000206,0.000005,492.827238,492.827238,492.827238
str,0.000889,0.000205,0.000260,0.000006,523.694201,523.694201,523.694201
str,0.000732,0.000207,0.000208,0.000004,429.549837,429.549837,429.549837
str,0.000738,0.000203,0.000204,0.000005,575.798523,575.798523,575.798523
str,0.000733,0.000207,0.000209,0.000006,526.355321,526.355321,526.355321
weak,0.000923,0.000211,0.000204,0.000007,383.752275,383.752275,383.752275
weak,0.000744,0.000261,0.000212,0.000009,401.068827,401.068827,401.068827
weak,0.000748,0.000207,0.000207,0.000005,419.572636,419.572636,419.572636
weak,0.000753,0.000205,0.000205,0.000004,453.974886,453.974886,453.974886
weak,0.000765,0.000207,0.000206,0.000006,403.438892,403.438892,403.438892
weak,0.000746,0.000207,0.000207,0.000005,523.914770,523.914770,523.914770
weak,0.000749,0.000206,0.000206,0.000010,506.336773,506.336773,506.336773
weak,0.000749,0.000205,0.000204,0.000005,409.503679,409.503679,409.503679
weak,0.000916,0.000206,0.000207,0.000006,515.319830,515.319830,515.319830
weak,0.000942,0.000358,0.000363,0.000008,486.106867,486.106867,486.106867
weak,0.000781,0.000212,0.000212,0.000006,358.112294,358.112294,358.112294
weak,0.000754,0.000204,0.000204,0.000004,474.081227,474.081227,474.081227
weak,0.000764,0.000206,0.000207,0.000004,541.146490,541.146490,541.146490
weak,0.000838,0.000227,0.000207,0.000004,471.077634,471.077634,471.077634
weak,0.000762,0.000207,0.000208,0.000005,368.189314,368.189314,368.189314
weak,0.000865,0.000206,0.000206,0.000008,457.102875,457.102875,457.102875
weak,0.000834,0.000230,0.000231,0.000004,487.900402,487.900402,487.900402
weak,0.000799,0.000231,0.000231,0.000004,410.568243,410.568243,410.568243
weak,0.000775,0.000204,0.000205,0.000005,474.200091,474.200091,474.200091
weak,0.000744,0.000210,0.000204,0.000006,383.780235,383.780235,383.780235
weak,0.000736,0.000206,0.000208,0.000006,442.672400,442.672400,442.672400
weak,0.000755,0.000204,0.000205,0.000004,399.259951,399.259951,399.259951
weak,0.000744,0.000237,0.000204,0.000004,464.703209,464.703209,464.703209
weak,0.000747,0.000206,0.000207,0.000004,408.779523,408.779523,408.779523
weak,0.000744,0.000203,0.000212,0.000005,454.297020,454.297020,454.297020
weak,0.000747,0.000204,0.000204,0.000005,456.780017,456.780017,456.780017
weak,0.000761,0.000204,0.000205,0.000005,418.693255,418.693255,418.693255
weak,0.000738,0.000204,0.000204,0.000008,532.207532,532.207532,532.207532
weak,0.000755,0.000203,0.000210,0.000008,432.850034,432.850034,432.850034
weak,0.000754,0.000204,0.000206,0.000006,417.803810,417.803810,417.803810
weak,0.000733,0.000204,0.000205,0.000005,449.874115,449.874115,449.874115
weak,0.000745,0.000207,0.000208,0.000007,468.533952,468.533952,468.533952
weak,0.000738,0.000204,0.000204,0.000009,401.488056,401.488056,401.488056
weak,0.000814,0.000203,0.000205,0.000007,508.318226,508.318226,508.318226
weak,0.000778,0.000206,0.000206,0.000003,456.307132,456.307132,456.307132
weak,0.000747,0.000204,0.000205,0.000006,366.549299,366.549299,366.549299
weak,0.000746,0.000206,0.000234,0.000008,423.783212,423.783212,423.783212
weak,0.000748,0.000205,0.000215,0.000006,456.267830,456.267830,456.267830
weak,0.000907,0.000205,0.000205,0.000006,471.099649,471.099649,471.099649
weak,0.000836,0.000639,0.000423,0.000007,498.178417,498.178417,498.178417
weak,0.000838,0.000232,0.000390,0.000005,384.038689,384.038689,384.038689
weak,0.001798,0.000229,0.000229,0.000013,451.470938,451.470938,451.470938
weak,0.001611,0.000331,0.000326,0.000007,443.234013,443.234013,443.234013
weak,0.001015,0.000584,0.000392,0.000010,395.425182,395.425182,395.425182
weak,0.001015,0.000313,0.000280,0.000009,416.212818,416.212818,416.212818
weak,0.001599,0.000279,0.000273,0.000007,400.821870,400.821870,400.821870
weak,0.000778,0.000623,0.000255,0.000006,500.283356,500.283356,500.283356
weak,0.000744,0.000205,0.000204,0.000004,471.299036,471.299036,471.299036
weak,0.000757,0.000206,0.000206,0.000005,436.297859,436.297859,436.297859
weak,0.000771,0.000206,0.000206,0.000005,357.877030,357.877030,357.877030
weak,0.000794,0.000203,0.000204,0.000006,485.962158,485.962158,485.962158
weak,0.000739,0.000212,0.000206,0.000006,411.916053,411.916053,411.916053
weak,0.000745,0.000242,0.000207,0.000003,399.141087,399.141087,399.141087
weak,0.000757,0.000209,0.000205,0.000007,340.743759,340.743759,340.743759
weak,0.000818,0.000204,0.000204,0.000008,513.825525,513.825525,513.825525
weak,0.000736,0.000204,0.000205,0.000004,506.999514,506.999514,506.999514
weak,0.000752,0.000204,0.000206,0.000004,492.058316,492.058316,492.058316
weak,0.000743,0.000205,0.000205,0.000004,386.450695,386.450695,386.450695
weak,0.000752,0.000251,0.000212,0.000005,528.949361,528.949361,528.949361
weak,0.000829,0.000252,0.000204,0.000007,468.940649,468.940649,468.940649
weak,0.000743,0.000211,0.000211,0.000004,392.371028,392.371028,392.371028
weak,0.000745,0.000204,0.000248,0.000004,351.527482,351.527482,351.527482
weak,0.000738,0.000203,0.000204,0.000004,404.528846,404.528846,404.528846
weak,0.000775,0.000204,0.000204,0.000007,496.025193,496.025193,496.025193
weak,0.000764,0.000380,0.000206,0.000008,402.839338,402.839338,402.839338
weak,0.000748,0.000204,0.000204,0.000006,415.755374,415.755374,415.755374
weak,0.000746,0.000204,0.000204,0.000003,469.801378,469.801378,469.801378
weak,0.000869,0.000204,0.000205,0.000006,441.080744,441.080744,441.080744
weak,0.001013,0.000206,0.000206,0.000006,474.457123,474.457123,474.457123
weak,0.000785,0.000205,0.000205,0.000005,513.171684,513.171684,513.171684
weak,0.000751,0.000204,0.000205,0.000005,495.427399,495.427399,495.427399
weak,0.000776,0.000206,0.000206,0.000003,375.794714,375.794714,375.794714
weak,0.001353,0.000203,0.000204,0.000008,490.750953,490.750953,490.750953
weak,0.001078,0.000387,0.000337,0.000006,436.281732,436.281732,436.281732
weak,0.000770,0.000401,0.000214,0.000005,421.564021,421.564021,421.564021
weak,0.000745,0.000206,0.000204,0.000004,469.800437,469.800437,469.800437
weak,0.000957,0.000205,0.000205,0.000006,525.673107,525.673107,525.673107
weak,0.000740,0.000204,0.000210,0.000004,530.212116,530.212116,530.212116
weak,0.000757,0.000205,0.000206,0.000005,503.745456,503.745456,503.745456
weak,0.000745,0.000204,0.000206,0.000004,445.030883,445.030883,445.030883
weak,0.000755,0.000206,0.000206,0.000006,382.905976,382.905976,382.905976
weak,0.000770,0.000205,0.000205,0.000004,462.737473,462.737473,462.737473
weak,0.000746,0.000210,0.000211,0.000007,496.157067,496.157067,496.157067
weak,0.000747,0.000215,0.000205,0.000004,360.375738,360.375738,360.375738
weak,0.000756,0.000205,0.000205,0.000008,443.732951,443.732951,443.732951
weak,0.001001,0.000258,0.000348,0.000006,359.012503,359.012503,359.012503
weak,0.000758,0.000210,0.000263,0.000003,367.209743,367.209743,367.209743
weak,0.000745,0.000208,0.000205,0.000005,476.883034,476.883034,476.883034
weak,0.000746,0.000205,0.000213,0.000007,494.492274,494.492274,494.492274
weak,0.000807,0.000205,0.000206,0.000007,478.917022,478.917022,478.917022
weak,0.000764,0.000328,0.000374,0.000008,445.543819,445.543819,445.543819
weak,0.000934,0.000206,0.000206,0.000005,458.524274,458.524274,458.524274
weak,0.001133,0.000341,0.000368,0.000005,371.967853,371.967853,371.967853
weak,0.001403,0.000343,0.000341,0.000008,346.997580,346.997580,346.997580
weak,0.000755,0.000219,0.000220,0.000009,365.619967,365.619967,365.619967
weak,0.000751,0.000205,0.000234,0.000004,394.944108,394.944108,394.944108
weak,0.000737,0.000205,0.000205,0.000008,479.141323,479.141323,479.141323
weak,0.000908,0.000206,0.000206,0.000003,424.793681,424.793681,424.793681
weak,0.000748,0.000211,0.000217,0.000004,429.150903,429.150903,429.150903
weak,0.000746,0.000207,0.000206,0.000006,452.295527,452.295527,452.295527
