type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,939,979,0.018552,0.011241
almost,1000,1001,1001,939,979,0.016950,0.010639
inv,1000,1001,1001,717,731,0.020748,0.013468
str,1000,1001,1001,943,967,0.017193,0.010881
weak,1000,1001,1001,939,979,0.017179,0.010756
