type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,992,996,0.489447,0.387291
almost,1001,1001,992,996,0.484329,0.301983
inv,1001,1001,842,848,0.635262,0.385194
str,1001,1001,990,996,0.503416,0.311475
weak,1001,1001,992,996,0.482143,0.299667
