type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,992,996,0.418388,0.267052
almost,1001,1001,992,996,0.420385,0.256169
inv,1001,1001,838,844,0.518558,0.329120
str,1001,1001,990,996,0.435051,0.266107
weak,1001,1001,992,996,0.412474,0.256060
