type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,986,991,0.366034,0.220568
almost,1001,1001,986,991,0.357598,0.210215
inv,1001,1001,834,838,0.408676,0.258452
str,1001,1001,990,995,0.341442,0.217039
weak,1001,1001,986,991,0.331567,0.213539
