typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_ks2_v1_nocol_noalloc,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_fminknap,resOpt_v1,resOpt,resFmin
s_div: 19974, s_cut: 17855
uncorr,0.000000,0.555528,0.027235,0.000000,0.007462,0.010485,0.007462,0.010485,0.007462,0.010485,0.000009,523234.702038,110428.619501,116681.514602
uncorr,0.000000,0.549288,0.026381,0.000000,0.006816,0.010585,0.006816,0.010585,0.006816,0.010585,0.000009,516864.354479,136411.410022,141900.378347
uncorr,0.000000,0.548799,0.027095,0.000000,0.013878,0.012788,0.013878,0.012788,0.013878,0.012788,0.000008,496716.797091,119282.433299,123294.265356
uncorr,0.000000,0.548148,0.026948,0.000000,0.006888,0.010376,0.006888,0.010376,0.006888,0.010376,0.000008,477294.285318,127150.112765,131216.758994
uncorr,0.000000,0.549031,0.026176,0.000000,0.007057,0.010250,0.007057,0.010250,0.007057,0.010250,0.000009,594456.759187,152704.934171,159541.105082
uncorr,0.000000,0.548318,0.025952,0.000000,0.009342,0.010265,0.009342,0.010265,0.009342,0.010265,0.000009,447512.925728,92430.556535,93327.175759
uncorr,0.000000,0.548727,0.025983,0.000000,0.006822,0.010192,0.006822,0.010192,0.006822,0.010192,0.000009,557762.840871,150848.764959,157297.560858
uncorr,0.000000,0.548185,0.025911,0.000000,0.006733,0.010223,0.006733,0.010223,0.006733,0.010223,0.000009,478733.486507,110166.091866,115548.278091
uncorr,0.000000,0.548254,0.025793,0.000000,0.006742,0.010296,0.006742,0.010296,0.006742,0.010296,0.000010,601402.031223,164562.500739,174293.595434
uncorr,0.000000,0.548114,0.026302,0.000000,0.014347,0.016651,0.014347,0.016651,0.014347,0.016651,0.000009,440951.252004,118806.268887,123573.416457
uncorr,0.000000,0.547946,0.025898,0.000000,0.006891,0.010370,0.006891,0.010370,0.006891,0.010370,0.000009,495549.458906,138086.036787,143640.555143
uncorr,0.000000,0.547294,0.026037,0.000000,0.006909,0.010183,0.006909,0.010183,0.006909,0.010183,0.000008,529657.506203,124863.241389,125210.577098
uncorr,0.000000,0.547683,0.026055,0.000000,0.008893,0.010350,0.008893,0.010350,0.008893,0.010350,0.000009,484938.294018,117769.367745,122489.710017
uncorr,0.000000,0.548444,0.026042,0.000000,0.006790,0.010418,0.006790,0.010418,0.006790,0.010418,0.000011,499457.463315,131048.450217,134935.415585
uncorr,0.000000,0.547435,0.025854,0.000000,0.006903,0.010312,0.006903,0.010312,0.006903,0.010312,0.000010,491683.217433,123714.938405,129186.516201
uncorr,0.000000,0.548682,0.026243,0.000000,0.007547,0.010384,0.007547,0.010384,0.007547,0.010384,0.000009,455524.659822,121804.480350,126463.693270
uncorr,0.000000,0.557838,0.028877,0.000000,0.008601,0.010920,0.008601,0.010920,0.008601,0.010920,0.000008,505900.987849,132619.901176,137782.392001
uncorr,0.000000,0.579461,0.030905,0.000000,0.007634,0.012407,0.007634,0.012407,0.007634,0.012407,0.000008,524608.998876,126334.973910,132773.954343
uncorr,0.000000,0.587113,0.028041,0.000000,0.010908,0.010894,0.010908,0.010894,0.010908,0.010894,0.000009,512769.492091,125441.516249,128018.602233
uncorr,0.000000,0.564835,0.030442,0.000000,0.011415,0.011736,0.011415,0.011736,0.011415,0.011736,0.000016,498235.182463,90822.282808,92159.801591
uncorr,0.000000,0.570572,0.026908,0.000000,0.007740,0.012477,0.007740,0.012477,0.007740,0.012477,0.000012,511043.228621,113938.595168,118578.417312
uncorr,0.000000,0.551820,0.026388,0.000000,0.006742,0.011404,0.006742,0.011404,0.006742,0.011404,0.000007,553088.453038,131917.015009,136900.123233
uncorr,0.000000,0.548632,0.026885,0.000000,0.011316,0.010414,0.011316,0.010414,0.011316,0.010414,0.000007,547794.538814,147127.773952,154155.003094
uncorr,0.000000,0.551793,0.030332,0.000000,0.007370,0.010471,0.007370,0.010471,0.007370,0.010471,0.000009,429842.967284,100430.023607,105990.792227
uncorr,0.000000,0.560713,0.027051,0.000000,0.006857,0.012316,0.006857,0.012316,0.006857,0.012316,0.000008,481683.598640,129730.743832,139432.864131
uncorr,0.000000,0.548826,0.027133,0.000000,0.006896,0.010580,0.006896,0.010580,0.006896,0.010580,0.000017,505515.234059,147420.955749,155575.702848
uncorr,0.000000,0.549228,0.029198,0.000000,0.015102,0.012171,0.015102,0.012171,0.015102,0.012171,0.000045,469068.806846,108888.656821,112712.963049
uncorr,0.000000,0.576041,0.029099,0.000000,0.006898,0.012861,0.006898,0.012861,0.006898,0.012861,0.000009,542212.408279,136838.368695,141029.260073
uncorr,0.000000,0.589282,0.028844,0.000000,0.011127,0.012648,0.011127,0.012648,0.011127,0.012648,0.000009,478945.909646,122491.319907,127771.456138
uncorr,0.000000,0.576635,0.026041,0.000000,0.009920,0.011367,0.009920,0.011367,0.009920,0.011367,0.000010,481427.842251,113831.319266,119725.476473
uncorr,0.000000,0.553244,0.029421,0.000000,0.007000,0.010387,0.007000,0.010387,0.007000,0.010387,0.000010,507619.549333,121303.706167,127933.048269
uncorr,0.000000,0.570466,0.028625,0.000000,0.007405,0.011480,0.007405,0.011480,0.007405,0.011480,0.000007,499572.046148,107147.785606,112707.955123
uncorr,0.000000,0.575069,0.028357,0.000000,0.012671,0.012131,0.012671,0.012131,0.012671,0.012131,0.000011,501248.201106,89390.204762,92264.189163
uncorr,0.000000,0.587164,0.029458,0.000000,0.007318,0.011242,0.007318,0.011242,0.007318,0.011242,0.000012,499116.970620,121862.014923,128063.277617
uncorr,0.000000,0.589023,0.027330,0.000000,0.007393,0.012091,0.007393,0.012091,0.007393,0.012091,0.000010,447455.618726,122030.436318,126521.183814
uncorr,0.000000,0.556640,0.030688,0.000000,0.007299,0.010708,0.007299,0.010708,0.007299,0.010708,0.000011,528447.747031,106398.411125,110572.491433
uncorr,0.000000,0.563697,0.027843,0.000000,0.011481,0.011955,0.011481,0.011955,0.011481,0.011955,0.000009,478809.752202,113739.856977,115831.830028
uncorr,0.000000,0.563985,0.026648,0.000000,0.007016,0.011059,0.007016,0.011059,0.007016,0.011059,0.000011,440158.567541,87853.354047,91081.586910
uncorr,0.000000,0.550711,0.027343,0.000000,0.006771,0.010488,0.006771,0.010488,0.006771,0.010488,0.000009,561468.572582,149850.948069,155698.359223
uncorr,0.000000,0.548509,0.026953,0.000000,0.008558,0.010531,0.008558,0.010531,0.008558,0.010531,0.000008,535828.084799,135340.150192,141507.416799
uncorr,0.000000,0.548082,0.026643,0.000000,0.006735,0.010571,0.006735,0.010571,0.006735,0.010571,0.000010,523943.886270,134850.317470,137706.758959
uncorr,0.000000,0.548362,0.026264,0.000000,0.006768,0.010568,0.006768,0.010568,0.006768,0.010568,0.000009,498943.035167,121195.917821,124095.258458
uncorr,0.000000,0.548271,0.025894,0.000000,0.006686,0.010284,0.006686,0.010284,0.006686,0.010284,0.000008,458495.026984,132265.970524,139862.157208
uncorr,0.000000,0.559317,0.027398,0.000000,0.013757,0.010251,0.013757,0.010251,0.013757,0.010251,0.000008,523804.633266,138524.886928,143003.843708
uncorr,0.000000,0.560041,0.027183,0.000000,0.006972,0.010465,0.006972,0.010465,0.006972,0.010465,0.000010,486865.976020,122218.015021,127619.118064
uncorr,0.000000,0.571296,0.026442,0.000000,0.007057,0.011347,0.007057,0.011347,0.007057,0.011347,0.000009,488435.879796,104396.573981,110636.692583
uncorr,0.000000,0.556181,0.026014,0.000000,0.008474,0.010541,0.008474,0.010541,0.008474,0.010541,0.000009,509132.095517,120460.419525,125984.178352
uncorr,0.000000,0.577347,0.026892,0.000000,0.007067,0.010414,0.007067,0.010414,0.007067,0.010414,0.000009,442448.155909,98208.218967,101574.973542
uncorr,0.000000,0.565706,0.028759,0.000000,0.007560,0.010972,0.007560,0.010972,0.007560,0.010972,0.000010,505521.186783,117591.816909,122642.338863
uncorr,0.000000,0.561126,0.026991,0.000000,0.009069,0.010405,0.009069,0.010405,0.009069,0.010405,0.000010,481007.824822,104221.315733,104487.146563
uncorr,0.000000,0.555222,0.025942,0.000000,0.007598,0.010528,0.007598,0.010528,0.007598,0.010528,0.000010,437803.757330,109205.452105,113051.790153
uncorr,0.000000,0.547721,0.026792,0.000000,0.006999,0.010402,0.006999,0.010402,0.006999,0.010402,0.000010,528973.260419,117397.816414,124572.794301
uncorr,0.000000,0.553958,0.026883,0.000000,0.006742,0.010489,0.006742,0.010489,0.006742,0.010489,0.000008,480740.777764,125961.218647,129086.464524
uncorr,0.000000,0.548612,0.026410,0.000000,0.008391,0.010469,0.008391,0.010469,0.008391,0.010469,0.000009,543326.626412,140012.529489,147585.777479
uncorr,0.000000,0.549368,0.027083,0.000000,0.007584,0.010568,0.007584,0.010568,0.007584,0.010568,0.000008,438828.555631,118764.578046,123200.845035
uncorr,0.000000,0.548683,0.027143,0.000000,0.006813,0.010487,0.006813,0.010487,0.006813,0.010487,0.000009,513333.147536,129145.959382,134298.028776
uncorr,0.000000,0.549143,0.025943,0.000000,0.007607,0.010518,0.007607,0.010518,0.007607,0.010518,0.000009,509013.810068,120118.000817,128541.949285
uncorr,0.000000,0.548492,0.027315,0.000000,0.007550,0.010306,0.007550,0.010306,0.007550,0.010306,0.000010,493707.050516,124920.454040,125931.742181
uncorr,0.000000,0.547851,0.027175,0.000000,0.006977,0.010499,0.006977,0.010499,0.006977,0.010499,0.000010,507693.978261,114723.481028,118513.616664
uncorr,0.000000,0.548685,0.027255,0.000000,0.006859,0.010672,0.006859,0.010672,0.006859,0.010672,0.000009,485004.421530,103754.279169,109908.744541
uncorr,0.000000,0.548991,0.027111,0.000000,0.008381,0.010675,0.008381,0.010675,0.008381,0.010675,0.000008,517047.047849,127363.149285,132653.138995
uncorr,0.000000,0.548423,0.027187,0.000000,0.007516,0.010587,0.007516,0.010587,0.007516,0.010587,0.000009,476251.962166,123946.876701,127065.200945
s_div: 19974, s_cut: 17855
almost,0.000000,0.548978,0.026677,0.000000,0.009498,0.010517,0.009498,0.010517,0.009498,0.010517,0.000008,452714.818481,44056.293792,47201.366297
almost,0.000000,0.548172,0.027103,0.000000,0.006870,0.010206,0.006870,0.010206,0.006870,0.010206,0.000012,399589.732328,34224.544144,39003.925408
almost,0.000000,0.548524,0.026096,0.000000,0.006810,0.010482,0.006810,0.010482,0.006810,0.010482,0.000010,413617.912870,39915.714939,43084.137246
almost,0.000000,0.547730,0.027143,0.000000,0.006754,0.010387,0.006754,0.010387,0.006754,0.010387,0.000014,408831.662226,41703.596041,43264.856889
almost,0.000000,0.549225,0.027153,0.000000,0.009209,0.010425,0.009209,0.010425,0.009209,0.010425,0.000009,431497.569912,41563.381695,44555.593859
almost,0.000000,0.548317,0.027327,0.000000,0.006844,0.010473,0.006844,0.010473,0.006844,0.010473,0.000013,446163.912343,37502.392734,38645.253252
almost,0.000000,0.547839,0.027287,0.000000,0.006678,0.010424,0.006678,0.010424,0.006678,0.010424,0.000014,475127.528729,38464.787788,40525.149554
almost,0.000000,0.548292,0.027138,0.000000,0.009554,0.010495,0.009554,0.010495,0.009554,0.010495,0.000010,384799.237390,37716.959428,41165.610973
almost,0.000000,0.562532,0.025973,0.000000,0.006834,0.010295,0.006834,0.010295,0.006834,0.010295,0.000008,414786.356223,42603.766040,44630.489386
almost,0.000000,0.552617,0.026249,0.000000,0.007173,0.010480,0.007173,0.010480,0.007173,0.010480,0.000010,400874.372136,43473.231850,44606.396560
almost,0.000000,0.552085,0.027378,0.000000,0.007521,0.010346,0.007521,0.010346,0.007521,0.010346,0.000012,433726.993491,41424.455334,44679.626610
almost,0.000000,0.563496,0.027153,0.000000,0.013892,0.010412,0.013892,0.010412,0.013892,0.010412,0.000011,496640.213527,41748.894243,44138.915080
almost,0.000000,0.549270,0.027207,0.000000,0.006827,0.010524,0.006827,0.010524,0.006827,0.010524,0.000019,429076.048274,40885.785402,41184.552634
almost,0.000000,0.548589,0.026113,0.000000,0.006917,0.010607,0.006917,0.010607,0.006917,0.010607,0.000009,397314.992562,42565.463363,44850.481319
almost,0.000000,0.549889,0.026152,0.000000,0.012128,0.010371,0.012128,0.010371,0.012128,0.010371,0.000011,408972.097584,38697.223199,41226.089474
almost,0.000000,0.552092,0.026332,0.000000,0.006702,0.010466,0.006702,0.010466,0.006702,0.010466,0.000012,435063.393743,43374.755873,45516.870214
almost,0.000000,0.548429,0.027500,0.000000,0.006715,0.010333,0.006715,0.010333,0.006715,0.010333,0.000014,448605.363528,41124.965086,43881.293892
almost,0.000000,0.547678,0.027167,0.000000,0.006708,0.010482,0.006708,0.010482,0.006708,0.010482,0.000009,441945.932391,47806.153238,49456.433248
almost,0.000000,0.549430,0.026282,0.000000,0.012278,0.010520,0.012278,0.010520,0.012278,0.010520,0.000010,441413.492834,41896.021091,42617.138479
almost,0.000000,0.549943,0.027226,0.000000,0.006947,0.010302,0.006947,0.010302,0.006947,0.010302,0.000013,430990.433528,44625.459704,46565.861244
almost,0.000000,0.548638,0.027657,0.000000,0.009015,0.010372,0.009015,0.010372,0.009015,0.010372,0.000012,421798.699439,39264.803961,41642.488362
almost,0.000000,0.547991,0.027072,0.000000,0.010260,0.010490,0.010260,0.010490,0.010260,0.010490,0.000009,443135.326461,39548.748588,40008.418913
almost,0.000000,0.551420,0.026109,0.000000,0.006947,0.010341,0.006947,0.010341,0.006947,0.010341,0.000010,470514.933744,44101.441653,45554.953534
almost,0.000000,0.548622,0.025985,0.000000,0.009425,0.010148,0.009425,0.010148,0.009425,0.010148,0.000010,425795.018751,39719.339880,41945.875390
almost,0.000000,0.549444,0.026870,0.000000,0.006928,0.010323,0.006928,0.010323,0.006928,0.010323,0.000010,435942.580223,39395.253585,41281.894124
almost,0.000000,0.548788,0.026313,0.000000,0.010826,0.010485,0.010826,0.010485,0.010826,0.010485,0.000013,422392.486248,36469.336531,38191.846255
