type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,997,997,1.171405,0.756190
almost,1001,1001,997,997,1.175604,0.731463
inv,1001,1001,864,866,1.395121,0.882083
str,1001,1001,997,1000,1.159260,0.720249
weak,1001,1001,997,997,1.159615,0.728311
