type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,986,991,0.313461,0.195987
almost,1001,1001,986,991,0.322176,0.191217
inv,1001,1001,831,836,0.385009,0.242416
str,1001,1001,990,995,0.318872,0.197188
weak,1001,1001,986,991,0.307265,0.186859
