type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,283,309,0.000708,0.000433
almost,1000,1001,1001,283,309,0.000717,0.000549
inv,1000,1001,1001,115,112,0.000903,0.000587
str,1000,1001,1001,280,289,0.000785,0.000492
weak,1000,1001,1001,283,309,0.000657,0.000436
