type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,997,997,1.050473,0.708508
almost,1001,1001,997,997,1.052798,0.659079
inv,1001,1001,864,864,1.238265,0.779280
str,1001,1001,996,996,1.023700,0.640988
weak,1001,1001,997,997,1.027068,0.648761
