type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,992,996,0.465785,0.305711
almost,1001,1001,992,996,0.460304,0.303502
inv,1001,1001,840,846,0.593804,0.364476
str,1001,1001,990,996,0.489414,0.310467
weak,1001,1001,992,996,0.464731,0.290934
