type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,997,997,1.288580,0.815841
almost,1001,1001,997,997,1.237095,0.782204
inv,1001,1001,865,868,1.486707,0.960044
str,1001,1001,997,1000,1.242350,0.772996
weak,1001,1001,997,997,1.249157,0.782901
