type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,993,996,0.694118,0.362997
almost,1001,1001,993,996,0.571761,0.358716
inv,1001,1001,847,852,0.712414,0.463595
str,1001,1001,992,996,0.590552,0.363846
weak,1001,1001,993,996,0.568044,0.352967
