type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,996,997,0.884832,0.567569
almost,1001,1001,996,997,0.873736,0.544080
inv,1001,1001,860,862,1.065091,0.668161
str,1001,1001,996,996,0.869769,0.548741
weak,1001,1001,996,997,0.868249,0.541467
