type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,924,969,0.012735,0.007373
almost,1000,1001,1001,924,969,0.012242,0.007499
inv,1000,1001,1001,699,703,0.013606,0.008875
str,1000,1001,1001,924,936,0.011429,0.007083
weak,1000,1001,1001,924,969,0.011595,0.007659
