type,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1001,1001,993,996,0.614384,0.387392
almost,1001,1001,993,996,0.604001,0.388725
inv,1001,1001,847,854,0.783236,0.473039
str,1001,1001,992,996,0.618300,0.385950
weak,1001,1001,993,996,0.599878,0.378301
