type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002976,0.003695,0.002220,0.000268,0.001522,16697.469547,16697.469547,16697.469547,16735.131714,14186.857827
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002614,0.004113,0.002200,0.000272,0.001533,23271.195251,23271.195251,23271.195251,23552.439161,19302.639030
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002526,0.004166,0.002197,0.000271,0.001526,19842.543709,19842.543709,19842.543709,19881.130877,15322.207932
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002546,0.003915,0.002616,0.000270,0.001592,24360.297228,24360.297228,24360.297228,24360.297228,22860.622849
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002525,0.003660,0.002507,0.000327,0.002051,17867.279284,17867.279284,17867.279284,17867.279284,15837.753355
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002727,0.003710,0.002255,0.000272,0.001773,26653.171994,26653.171994,26653.171994,27000.686636,21428.583816
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002638,0.003604,0.002219,0.000272,0.001560,17283.179218,17283.179218,17283.179218,17283.179218,14230.893909
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.003115,0.003688,0.002207,0.000266,0.001536,20229.087454,20229.087454,20229.087454,20230.818660,15510.061988
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002559,0.003854,0.002222,0.000271,0.001521,17815.949471,17815.949471,17815.949471,17957.743296,14286.371739
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002517,0.004201,0.002224,0.000267,0.001538,17879.619650,17879.619650,17879.619650,17988.764109,15721.696258
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002567,0.004302,0.002247,0.000272,0.001522,16568.718634,16568.718634,16568.718634,16927.815461,13621.877931
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002564,0.003843,0.002392,0.000272,0.001539,20736.773165,20736.773165,20736.773165,20736.773165,16396.042627
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002632,0.003743,0.003074,0.000378,0.002096,22071.878165,22071.878165,22071.878165,22327.227723,18090.017929
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002524,0.003746,0.002301,0.000397,0.001711,19281.805235,19281.805235,19281.805235,19281.805235,16803.200588
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002615,0.003662,0.002345,0.000273,0.001820,16246.209238,16246.209238,16246.209238,16297.489514,12269.420369
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002744,0.003828,0.002752,0.000278,0.001931,16947.336711,16947.336711,16947.336711,17188.758724,13052.070212
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.003308,0.003670,0.002325,0.000267,0.001532,20045.906307,20045.906307,20045.906307,20045.906307,16482.836236
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002897,0.003723,0.002258,0.000272,0.001588,17085.126914,17085.126914,17085.126914,17085.126914,13389.979007
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002669,0.004014,0.002227,0.000272,0.001524,21651.273786,21651.273786,21651.273786,21651.273786,15354.237792
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002585,0.005190,0.005509,0.000607,0.003668,16890.999902,16890.999902,16890.999902,16890.999902,15226.669687
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002967,0.003639,0.002206,0.000267,0.001627,18278.427925,18278.427925,18278.427925,18278.427925,14940.731922
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.003084,0.003664,0.002252,0.000276,0.001530,18264.000770,18264.000770,18264.000770,18672.664938,15228.488429
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002538,0.003899,0.002204,0.000277,0.001530,16453.279118,16453.279118,16453.279118,16477.853736,11558.779885
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002530,0.004149,0.002233,0.000265,0.001557,21777.136247,21777.136247,21777.136247,21881.456600,19143.610031
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002900,0.004549,0.002227,0.000268,0.001526,20354.046151,20354.046151,20354.046151,20609.065232,16836.181032
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002536,0.003867,0.002599,0.000275,0.001513,14473.107290,14473.107290,14473.107290,14473.107290,11403.539100
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002536,0.003859,0.002198,0.000275,0.001922,17691.673277,17691.673277,17691.673277,17691.673277,14491.187990
