type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,978,986,0.105677,0.070211
almost,1000,1001,1001,978,986,0.100502,0.063554
inv,1000,1001,1001,812,819,0.126749,0.097160
str,1000,1001,1001,986,990,0.101561,0.068403
weak,1000,1001,1001,978,986,0.102547,0.063152
