type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,946,980,0.030071,0.017159
almost,1000,1001,1001,946,980,0.024441,0.015016
inv,1000,1001,1001,751,789,0.029159,0.020818
str,1000,1001,1001,962,989,0.025091,0.015111
weak,1000,1001,1001,946,980,0.023347,0.014485
