type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,967,980,0.038005,0.026029
almost,1000,1001,1001,967,980,0.038039,0.023665
inv,1000,1001,1001,778,791,0.048542,0.028846
str,1000,1001,1001,973,989,0.036880,0.023361
weak,1000,1001,1001,967,980,0.036140,0.023493
