type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     1001,        1001,     0.218637,0.117913
almost,                      1000,      500,1001,        1001,     1001,        1001,     0.215587,0.120948
inv,                      1000,      500,1001,        1001,     946,        947,     0.310627,0.191820
str,                      1000,      500,1001,        1001,     1001,        1001,     0.248489,0.142844
weak,                      1000,      500,1001,        1001,     1001,        1001,     0.203247,0.119936
