type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,786,866,0.004846,0.004101
almost,1000,1001,1001,786,866,0.006316,0.002662
inv,1000,1001,1001,528,567,0.005028,0.003221
str,1000,1001,1001,794,877,0.004430,0.002379
weak,1000,1001,1001,786,866,0.003765,0.002661
