type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     1001,        1001,     0.045746,0.025511
almost,                      1000,      500,1001,        1001,     1001,        1001,     0.046230,0.025442
inv,                      1000,      500,1001,        1001,     993,        993,     0.065908,0.031631
str,                      1000,      500,1001,        1001,     1001,        1001,     0.040076,0.028929
weak,                      1000,      500,1001,        1001,     1001,        1001,     0.039879,0.021870
