type,capacity,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,1000,1001,1001,986,991,0.290150,0.177617
almost,1000,1001,1001,986,991,0.287484,0.179312
inv,1000,1001,1001,829,832,0.343857,0.213822
str,1000,1001,1001,990,995,0.288044,0.176732
weak,1000,1001,1001,986,991,0.273190,0.171318
