type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     998,        998,     0.467748,0.226626
almost,                      1000,      500,1001,        1001,     998,        998,     0.405820,0.221204
inv,                      1000,      500,1001,        1001,     887,        890,     0.430886,0.324007
str,                      1000,      500,1001,        1001,     1001,        1001,     0.370537,0.228043
weak,                      1000,      500,1001,        1001,     998,        998,     0.456384,0.222980
