type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     993,        997,     0.486643,0.287580
almost,                      1000,      500,1001,        1001,     993,        997,     0.508812,0.274638
inv,                      1000,      500,1001,        1001,     845,        847,     0.493334,0.314064
str,                      1000,      500,1001,        1001,     994,        994,     0.418700,0.248957
weak,                      1000,      500,1001,        1001,     993,        997,     0.418244,0.261086
