type,capacity,n,t_v1,t_v2,s_v1,s_v2,time_v1,time_v2
uncorr,                      1000,      500,1001,        1001,     997,        999,     0.295794,0.186193
almost,                      1000,      500,1001,        1001,     997,        999,     0.284686,0.186752
inv,                      1000,      500,1001,        1001,     915,        917,     0.348928,0.195032
str,                      1000,      500,1001,        1001,     999,        1001,     0.278587,0.160516
weak,                      1000,      500,1001,        1001,     997,        999,     0.264747,0.159221
